sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision
0,6915,0.0,0.0,0.0,0.0
1,364,0.0,0.0,0.0,0.0
2,8846,0.0,0.0,0.0,0.0
3,4964,0.0,0.0,0.0,0.0
4,2631,0.0,0.0,0.0,0.0
5,4225,0.0,0.0,0.0,0.0
6,3701,0.0,0.0,0.0,0.0
7,6811,0.0,0.0,0.0,0.0
8,3217,0.0,0.0,0.0,0.0
9,2239,0.40166500210762024,0.08828791975975042,0.08979073166847229,-0.8571428656578064
10,8563,0.0,0.0,0.0,0.0
11,5844,0.0,0.0,0.0,0.0
12,4721,0.0,0.0,0.0,0.0
13,4243,0.0,0.0,0.0,0.0
14,2728,0.0,0.0,0.0,0.0
15,2062,0.0,0.0,0.0,0.0
16,6481,0.0,0.0,0.0,0.0
17,6771,0.0,0.0,0.0,0.0
18,8039,0.0,0.0,0.0,0.0
19,3893,0.0,0.0,0.0,0.0
20,7689,0.0,0.0,0.0,0.0
21,6984,0.0,0.0,0.0,0.0
22,9231,0.0,0.0,0.0,0.0
23,4650,0.0,0.0,0.0,0.0
24,7553,0.0,0.0,0.0,0.0
25,116,0.0,0.0,0.0,0.0
26,2856,0.0,0.0,0.0,0.0
27,5898,0.0,0.0,0.0,0.0
28,8126,0.0,0.0,0.0,0.0
29,2982,0.0,0.0,0.0,0.0
30,7044,0.0,0.0,0.0,0.0
31,9475,0.0,0.0,0.0,0.0
32,1513,0.0,0.0,0.0,0.0
33,8493,0.0,0.0,0.0,0.0
34,4561,0.0,0.0,0.0,0.0
35,1476,0.0,0.0,0.0,0.0
36,3617,0.0,0.0,0.0,0.0
37,9916,0.0,0.0,0.0,0.0
38,4491,0.0,0.0,0.0,0.0
39,1551,0.0,0.0,0.0,0.0
40,1376,0.0,0.0,0.0,0.0
41,9708,0.0,0.0,0.0,0.0
42,3479,0.0,0.0,0.0,0.0
43,7462,0.0,0.0,0.0,0.0
44,3494,0.0,0.0,0.0,0.0
45,8486,0.0,0.0,0.0,0.0
46,9960,0.0,0.0,0.0,0.0
47,4756,0.0,0.0,0.0,0.0
48,9152,0.0,0.0,0.0,0.0
49,8619,0.0,0.0,0.0,0.0
50,4042,0.0,0.0,0.0,0.0
