status,dataset,model,sample_index,image_id,path,target_id,target_name,distractor_id,distractor_name,cci_region,wf_region,mean_region,max_0_1_region,feasible_set_size,candidate_selection_target,candidate_selection_mean_foil,candidate_selection_max_foil,candidate_eval_margin_norm,candidate_eval_pmean_norm,candidate_eval_target_drop_raw,candidate_eval_target_drop_norm,candidate_bbox_precision,cci_margin_norm,cci_pmean_norm,cci_target_drop_raw,cci_target_drop_norm,cci_bbox_precision,wf_margin_norm,wf_pmean_norm,wf_target_drop_raw,wf_target_drop_norm,wf_bbox_precision,mean_margin_norm,mean_pmean_norm,mean_target_drop_raw,mean_target_drop_norm,mean_bbox_precision,max_0_1_margin_norm,max_0_1_pmean_norm,max_0_1_target_drop_raw,max_0_1_target_drop_norm,max_0_1_bbox_precision
local_rerun,voc2007,openai_b16,0,006915,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/006915.jpg,dog,dog,person,person,2,2,2,2,1,"[0.21586459875106812,0.39205050468444824,0.9073243141174316,0.2361748069524765,-0.7257539629936218,0.13882333040237427,-0.9845220446586609,-0.756980836391449]","[-0.1544724404811859,0.46263283491134644,1.4376147985458374,-0.04349113628268242,-0.46702978014945984,-0.19198963046073914,-1.365186095237732,-0.39529097080230713]","[0.4708162844181061,0.8694236874580383,2.142949104309082,0.24541649222373962,0.3021669089794159,0.10330820083618164,-0.06290141493082047,0.4367828369140625]","[-0.3251122236251831,-0.3830410838127136,-0.8755017518997192,-0.07766839861869812,-1.194501280784607,-0.09018360078334808,-0.7821467518806458,-0.9886928796768188]","[0.23917055130004883,-0.010994136333465576,-0.016981124877929688,0.23926055431365967,-0.3578122854232788,0.2626960575580597,0.24218320846557617,-0.29652079939842224]","[-0.1599086970090866,0.49923470616340637,1.2259477376937866,-0.0034545212984085083,-0.4941527247428894,-0.0383894219994545,-0.8595418930053711,-0.599249005317688]","[-0.16281342506408691,0.5083032846450806,1.248216986656189,-0.0035172724165022373,-0.5031290054321289,-0.03908676281571388,-0.8751554489135742,-0.6101343035697937]","[1.0,0.3461538553237915,0.4399999976158142,0.3636363744735718,1.0,0.4000000059604645,1.0,0.7142857313156128]",-0.8755017518997192,-0.016981124877929688,1.2259477376937866,1.248216986656189,0.4399999976158142,-0.8755017518997192,-0.016981124877929688,1.2259477376937866,1.248216986656189,0.4399999976158142,-0.8755017518997192,-0.016981124877929688,1.2259477376937866,1.248216986656189,0.4399999976158142,-0.8755017518997192,-0.016981124877929688,1.2259477376937866,1.248216986656189,0.4399999976158142
local_rerun,voc2007,openai_b16,1,000364,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/000364.jpg,motorbike,motorbike,person,person,0,0,0,0,1,"[0.49280279874801636,-0.38955047726631165,-0.13880248367786407,0.16013722121715546,-1.1571012735366821,0.40957820415496826,-0.7015454173088074,0.3808724582195282]","[0.1411561667919159,-0.9863983988761902,-0.01042872667312622,-0.48150914907455444,-0.7662513852119446,-0.2955626845359802,-0.4327785074710846,0.20964300632476807]","[0.4673767685890198,0.12838710844516754,0.2756953239440918,0.10314431041479111,-0.013967150822281837,0.11549222469329834,0.08172052353620529,1.329659342765808]","[-0.027202218770980835,-0.3257327377796173,-0.4242827594280243,0.08682486414909363,-0.9001612067222595,0.17051313817501068,-0.8651810884475708,-1.097954273223877]","[0.32855573296546936,0.7289170622825623,-0.08942149579524994,0.6119031310081482,-0.3388141393661499,0.5990819931030273,-0.29909074306488037,0.18278829753398895]","[0.4321143329143524,-0.11625495553016663,-0.3241487145423889,0.2301447093486786,-1.408070683479309,0.38309311866760254,-0.8543903827667236,0.2100037783384323]","[0.4395516514778137,-0.11825587600469589,-0.32972779870033264,0.23410584032535553,-1.4323056936264038,0.3896867334842682,-0.8690957427024841,0.21361826360225677]","[0.6666666865348816,1.0,0.4000000059604645,1.0,0.7234042286872864,1.0,0.48148149251937866,1.0]",-0.027202218770980835,0.32855573296546936,0.4321143329143524,0.4395516514778137,0.6666666865348816,-0.027202218770980835,0.32855573296546936,0.4321143329143524,0.4395516514778137,0.6666666865348816,-0.027202218770980835,0.32855573296546936,0.4321143329143524,0.4395516514778137,0.6666666865348816,-0.027202218770980835,0.32855573296546936,0.4321143329143524,0.4395516514778137,0.6666666865348816
local_rerun,voc2007,openai_b16,2,008846,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/008846.jpg,cat,cat,pottedplant,pottedplant,0,0,0,0,1,"[2.254861354827881,-0.593961238861084,-0.18787427246570587,-0.1671658456325531,-0.05424151197075844,-0.10172448307275772,-0.1420707106590271,0.23372980952262878]","[-2.7071073055267334,-0.33892592787742615,-0.1493774652481079,0.011800362728536129,-0.047571271657943726,-0.22924387454986572,-0.10393978655338287,-0.06548851728439331]","[-0.8896185755729675,-0.03630092367529869,0.06461428105831146,0.3270142376422882,0.8672105669975281,0.9527065753936768,0.0569080151617527,0.4468512237071991]","[2.437119960784912,-0.378351628780365,-0.10315577685832977,-0.3342524766921997,-0.81947922706604,-0.9357982873916626,-0.10034690797328949,-0.30308282375335693]","[4.290427207946777,-0.15039625763893127,0.1204049214720726,-0.07842709124088287,-0.03245928883552551,0.07936672866344452,0.0275467187166214,0.28523415327072144]","[1.8867708444595337,-0.49325239658355713,0.01779501512646675,-0.06103295460343361,-0.20053747296333313,-0.187607541680336,-0.08356647938489914,0.028870970010757446]","[1.9224603176116943,-0.5025825500488281,0.018131619319319725,-0.06218742951750755,-0.20433075726032257,-0.19115625321865082,-0.0851471945643425,0.02941708266735077]","[0.9473684430122375,0.0,0.5,0.0,0.0,0.0,0.0,0.23076923191547394]",2.437119960784912,4.290427207946777,1.8867708444595337,1.9224603176116943,0.9473684430122375,2.437119960784912,4.290427207946777,1.8867708444595337,1.9224603176116943,0.9473684430122375,2.437119960784912,4.290427207946777,1.8867708444595337,1.9224603176116943,0.9473684430122375,2.437119960784912,4.290427207946777,1.8867708444595337,1.9224603176116943,0.9473684430122375
local_rerun,voc2007,openai_b16,3,004964,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/004964.jpg,sofa,sofa,person,person,1,1,1,1,1,"[-0.47515079379081726,3.463090419769287,-1.6193126440048218,0.9033190011978149,0.05927065387368202,0.1717238873243332,0.04501654952764511,0.3167729079723358]","[0.6193625926971436,-0.3816910684108734,-0.5835556983947754,1.1096436977386475,0.3259289860725403,-0.05133107304573059,-0.20653626322746277,-0.0020352539140731096]","[1.247883915901184,0.6656507253646851,0.5756532549858093,1.6476757526397705,0.8794081211090088,0.09362567961215973,0.0653691440820694,0.9520447850227356]","[-1.1380436420440674,2.365015745162964,-2.14972186088562,-0.4534738063812256,-0.6993697881698608,-0.00037013739347457886,-0.11400783807039261,-0.5268161296844482]","[-0.713236927986145,3.6142361164093018,-0.9555142521858215,-0.1287144422531128,-0.30557793378829956,0.15723899006843567,0.14898735284805298,0.3474619388580322]","[-0.09335226565599442,3.214536190032959,-1.3959565162658691,1.0079365968704224,0.0021353831980377436,0.10293358564376831,0.057033471763134,0.30022236704826355]","[-0.09505714476108551,3.273242712020874,-1.4214506149291992,1.0263444185256958,0.002174381399527192,0.10481344163417816,0.058075062930583954,0.3057052791118622]","[0.1463414579629898,0.8611111044883728,0.05000000074505806,0.04651162773370743,0.0,0.0,0.0,0.0]",2.365015745162964,3.6142361164093018,3.214536190032959,3.273242712020874,0.8611111044883728,2.365015745162964,3.6142361164093018,3.214536190032959,3.273242712020874,0.8611111044883728,2.365015745162964,3.6142361164093018,3.214536190032959,3.273242712020874,0.8611111044883728,2.365015745162964,3.6142361164093018,3.214536190032959,3.273242712020874,0.8611111044883728
local_rerun,voc2007,openai_b16,4,002631,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/002631.jpg,person,person,bicycle,bicycle,4,4,4,4,1,"[0.1673422008752823,-0.5599253177642822,0.052376724779605865,0.2621232271194458,0.7487096190452576,0.2049318253993988,-0.11418148130178452,0.10104559361934662]","[0.1574106514453888,-0.3170585036277771,0.04540751501917839,0.014244173653423786,0.436412513256073,0.10540848225355148,0.1323922872543335,-0.2474793642759323]","[0.605969250202179,1.652567982673645,0.28542327880859375,0.48554858565330505,1.3978385925292969,0.20649069547653198,1.036076545715332,0.8413891196250916]","[-0.38142329454421997,-2.1475610733032227,-0.16982683539390564,-0.23197801411151886,-0.45701533555984497,-0.07338254153728485,-0.5416692495346069,-0.9336667656898499]","[0.020922772586345673,-0.2137516736984253,0.09656409174203873,0.1486726999282837,0.5150209069252014,0.0484127551317215,0.2115744948387146,0.07409878075122833]","[0.13897480070590973,-0.5010918378829956,0.09801674634218216,0.16812781989574432,0.6657342314720154,0.18840032815933228,0.26143598556518555,-0.2161230891942978]","[0.14160776138305664,-0.5105853080749512,0.09987372905015945,0.1713130921125412,0.6783469319343567,0.19196967780590057,0.26638904213905334,-0.22021766006946564]","[0.8695651888847351,0.625,0.5384615659713745,0.4285714328289032,1.0,0.4444444477558136,1.0,0.9777777791023254]",-0.45701533555984497,0.5150209069252014,0.6657342314720154,0.6783469319343567,1.0,-0.45701533555984497,0.5150209069252014,0.6657342314720154,0.6783469319343567,1.0,-0.45701533555984497,0.5150209069252014,0.6657342314720154,0.6783469319343567,1.0,-0.45701533555984497,0.5150209069252014,0.6657342314720154,0.6783469319343567,1.0
local_rerun,voc2007,openai_b16,5,004225,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/004225.jpg,boat,boat,person,person,5,5,5,5,1,"[-0.21592095494270325,0.5613318681716919,-0.5334161520004272,0.1932176649570465,0.2971954047679901,0.6177325248718262,-0.3537175953388214,-0.07175224274396896]","[-0.4286452829837799,-0.20095613598823547,-0.721540093421936,0.12186697870492935,0.09120115637779236,-1.0952526330947876,-0.19282402098178864,0.04745209962129593]","[0.7316731214523315,0.170632466673851,-0.20709539949893951,0.2070271372795105,0.6911987066268921,0.48659420013427734,0.13287770748138428,1.2537026405334473]","[-1.215449333190918,0.27333614230155945,-0.347270667552948,-0.0046594589948654175,-0.31502634286880493,0.3381339907646179,-0.4777188301086426,-1.2951226234436035]","[-0.021100014448165894,0.6639050245285034,0.09209954738616943,0.066390760242939,0.19282729923725128,1.524034023284912,-0.12721014022827148,-0.0843832865357399]","[-0.2402803599834442,0.40395388007164,-0.7612448930740356,0.1872754842042923,0.2228476107120514,0.471067875623703,-0.22740431129932404,-0.17209123075008392]","[-0.24489125609397888,0.4117056131362915,-0.7758529186248779,0.19086922705173492,0.22712397575378418,0.48010748624801636,-0.23176811635494232,-0.17539359629154205]","[1.0,0.1515151560306549,0.8500000238418579,0.25,0.0,1.0,0.75,1.0]",0.3381339907646179,1.524034023284912,0.471067875623703,0.48010748624801636,1.0,0.3381339907646179,1.524034023284912,0.471067875623703,0.48010748624801636,1.0,0.3381339907646179,1.524034023284912,0.471067875623703,0.48010748624801636,1.0,0.3381339907646179,1.524034023284912,0.471067875623703,0.48010748624801636,1.0
local_rerun,voc2007,openai_b16,6,003701,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/003701.jpg,car,car,person,person,7,7,7,7,1,"[-0.26858463883399963,-0.1482490748167038,-0.18568505346775055,0.4107198119163513,-1.0045535564422607,0.21651950478553772,0.19804096221923828,0.8790512084960938]","[-0.19624215364456177,-0.07771774381399155,-0.11680124700069427,0.5524876117706299,-0.8208803534507751,0.3254086375236511,0.16674913465976715,0.282879114151001]","[0.037610720843076706,0.048078857362270355,-0.04219045117497444,2.641808271408081,0.4854082465171814,0.5989972949028015,0.34376415610313416,0.7758774757385254]","[-0.2806127965450287,-0.1704946607351303,-0.14612042903900146,-1.9531240463256836,-0.7489873170852661,-0.39050689339637756,-0.1082562655210495,0.10056591033935547]","[-0.09608596563339233,-0.07044795155525208,-0.07340559363365173,-0.006092578172683716,0.08011221885681152,-0.1656661331653595,0.06742088496685028,0.5033313632011414]","[-0.2818308174610138,-0.18944549560546875,-0.2162284106016159,0.38108566403388977,-0.7709526419639587,0.10949566960334778,0.13239429891109467,0.6788252592086792]","[-0.28655266761779785,-0.19261950254440308,-0.21985115110874176,0.38747045397758484,-0.7838693261146545,0.11133018136024475,0.13461245596408844,0.6901984214782715]","[0.0,0.0,0.0,0.02857142873108387,0.0,0.0,0.0,0.8888888955116272]",0.10056591033935547,0.5033313632011414,0.6788252592086792,0.6901984214782715,0.8888888955116272,0.10056591033935547,0.5033313632011414,0.6788252592086792,0.6901984214782715,0.8888888955116272,0.10056591033935547,0.5033313632011414,0.6788252592086792,0.6901984214782715,0.8888888955116272,0.10056591033935547,0.5033313632011414,0.6788252592086792,0.6901984214782715,0.8888888955116272
local_rerun,voc2007,openai_b16,7,006811,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/006811.jpg,horse,horse,person,person,2,2,2,2,1,"[0.23280510306358337,0.09183122962713242,1.1487191915512085,-0.07585201412439346,0.06699228286743164,-0.18090109527111053,0.14362399280071259,-1.6875942945480347]","[0.07218225300312042,-0.02766370214521885,0.24582943320274353,-0.03098241239786148,-0.0816638320684433,-0.16936679184436798,0.12405611574649811,-1.7876602411270142]","[0.2550104558467865,0.19527345895767212,0.8788117170333862,0.4174933135509491,0.3592095673084259,-0.08025804162025452,0.4763381779193878,-0.9497271776199341]","[0.018635377287864685,-0.10327707976102829,0.058661043643951416,-0.38646095991134644,-0.21776090562343597,-0.057186808437108994,-0.21410086750984192,-0.8824548125267029]","[0.16042263805866241,0.10512455552816391,0.5674278140068054,0.04495541751384735,0.10820494592189789,0.015238955616950989,0.029429078102111816,0.1340106725692749]","[0.19264304637908936,0.11364161968231201,0.7972328662872314,-0.05733725056052208,0.05362150818109512,-0.08412566035985947,0.12250693887472153,-1.4563997983932495]","[0.1956351101398468,0.11540665477514267,0.8096151947975159,-0.058227792382240295,0.05445433780550957,-0.085432268679142,0.12440966814756393,-1.4790199995040894]","[0.0,0.1111111119389534,0.9615384340286255,0.042553190141916275,0.08571428805589676,0.0,0.1428571492433548,0.7692307829856873]",0.058661043643951416,0.5674278140068054,0.7972328662872314,0.8096151947975159,0.9615384340286255,0.058661043643951416,0.5674278140068054,0.7972328662872314,0.8096151947975159,0.9615384340286255,0.058661043643951416,0.5674278140068054,0.7972328662872314,0.8096151947975159,0.9615384340286255,0.058661043643951416,0.5674278140068054,0.7972328662872314,0.8096151947975159,0.9615384340286255
local_rerun,voc2007,openai_b16,8,003217,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/003217.jpg,car,car,person,person,5,5,5,5,1,"[0.23454061150550842,0.020137302577495575,0.3483685553073883,-0.039469990879297256,0.017229273915290833,0.4469599425792694,-0.2013220638036728,-0.7838940024375916]","[0.15918965637683868,-0.02796323038637638,0.00027350374148227274,-0.1894771009683609,0.012575664557516575,-0.26475825905799866,0.033807992935180664,-0.3812580108642578]","[0.34159523248672485,0.32440993189811707,2.0720274448394775,0.21820814907550812,0.07805638760328293,0.3965250849723816,0.6493494510650635,1.5097395181655884]","[-0.028848618268966675,-0.3114943206310272,-1.438192367553711,-0.18994079530239105,-0.054720133543014526,0.2801273465156555,-0.6568604707717896,-2.0708508491516113]","[0.1274905800819397,0.051768846809864044,0.721924364566803,0.174268901348114,0.004732433706521988,0.688330888748169,-0.12883494794368744,-0.1114027202129364]","[0.2807593047618866,-0.0260301660746336,0.02028147503733635,-0.007940780371427536,0.026479706168174744,0.53802490234375,-0.0457858145236969,-0.4247986078262329]","[0.28546321392059326,-0.026466280221939087,0.020621275529265404,-0.008073821663856506,0.026923352852463722,0.5470390915870667,-0.04655291885137558,-0.4319157600402832]","[0.0,0.3235294222831726,1.0,0.2857142984867096,0.10000000149011612,1.0,0.550000011920929,0.3076923191547394]",0.2801273465156555,0.688330888748169,0.53802490234375,0.5470390915870667,1.0,0.2801273465156555,0.688330888748169,0.53802490234375,0.5470390915870667,1.0,0.2801273465156555,0.688330888748169,0.53802490234375,0.5470390915870667,1.0,0.2801273465156555,0.688330888748169,0.53802490234375,0.5470390915870667,1.0
local_rerun,voc2007,openai_b16,9,002239,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/002239.jpg,person,person,bicycle,bicycle,5,5,5,5,1,"[-0.09675382077693939,-0.038740724325180054,-0.721153736114502,-1.554526925086975,-0.235182523727417,0.1498691439628601,0.0861821323633194,-0.19530394673347473]","[0.03950078785419464,-0.10191458463668823,-0.7845054268836975,-1.6747993230819702,-0.10047062486410141,-0.008299777284264565,-0.007184367626905441,-0.3439185321331024]","[0.5458430051803589,0.011206123977899551,-0.18900854885578156,-0.3286077678203583,0.4154684841632843,0.6022331714630127,0.20647691190242767,0.9605697393417358]","[-0.4176284968852997,-0.037442341446876526,-0.3598802089691162,-1.0481159687042236,-0.5287623405456543,-0.4029616713523865,-0.016771137714385986,-1.298671007156372]","[-0.030877523124217987,0.07728488743305206,0.20531970262527466,0.19550049304962158,0.001881241798400879,0.2612716555595398,0.1664752960205078,-0.15375076234340668]","[-0.011941732838749886,-0.015814820304512978,-0.6526945233345032,-1.4539337158203125,-0.25870710611343384,0.22610537707805634,0.12022774666547775,-0.2854292392730713]","[-0.0121679762378335,-0.01611444167792797,-0.6650602221488953,-1.481479287147522,-0.263608455657959,0.2303890734910965,0.12250553071498871,-0.2908368706703186]","[0.032258063554763794,0.0,0.07692307978868484,0.7083333134651184,0.03999999910593033,0.1785714328289032,0.0476190485060215,0.8857142925262451]",-0.4029616713523865,0.2612716555595398,0.22610537707805634,0.2303890734910965,0.1785714328289032,-0.4029616713523865,0.2612716555595398,0.22610537707805634,0.2303890734910965,0.1785714328289032,-0.4029616713523865,0.2612716555595398,0.22610537707805634,0.2303890734910965,0.1785714328289032,-0.4029616713523865,0.2612716555595398,0.22610537707805634,0.2303890734910965,0.1785714328289032
