setting,sample_index,image_id,target_id,target_name,cci_region,A,B_fixed_normalized,raw_failure,normalized_failure,raw_pass_normalized_fail,raw_fail_normalized_pass,raw_cci_margin,normalized_cci_margin,raw_worst_class_id,raw_worst_class_name,normalized_worst_class_id,normalized_worst_class_name,hardest_foil_agreement,raw_unrestricted_oracle_pass,normalized_unrestricted_oracle_pass
coco_openai_b16,0,490567,70,toilet,5,1,0,0,0,0,0,0.4872903525829315,0.4940074682235718,51,bowl,51,bowl,1,1,1
coco_openai_b16,1,283217,1,person,1,0,0,1,1,0,0,-0.48620305955410004,-0.49693115055561066,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,2,497801,1,person,0,0,0,1,1,0,0,-1.930339753627777,-1.9638011157512665,57,carrot,57,carrot,1,0,0
coco_openai_b16,3,323925,88,teddy bear,6,0,0,1,1,0,0,-0.8746824264526367,-0.885890007019043,65,bed,65,bed,1,0,0
coco_openai_b16,4,387990,65,bed,7,1,0,0,0,0,0,1.0871833562850952,1.1035538911819458,27,backpack,27,backpack,1,1,1
coco_openai_b16,5,134940,38,kite,7,1,0,0,0,0,0,0.5424104928970337,0.5651587247848511,19,horse,19,horse,1,1,1
coco_openai_b16,6,54337,67,dining table,7,0,0,1,1,0,0,-0.14918094873428345,-0.15564239025115967,20,sheep,20,sheep,1,1,1
coco_openai_b16,7,80145,1,person,7,1,1,1,1,0,0,-2.017020657658577,-2.07015660405159,35,skis,35,skis,1,0,0
coco_openai_b16,8,425390,17,cat,1,1,1,1,1,0,0,-0.45217663049697876,-0.4636210799217224,38,kite,38,kite,1,0,0
coco_openai_b16,9,520871,67,dining table,5,0,0,1,1,0,0,-0.34620562195777893,-0.35324183106422424,57,carrot,57,carrot,1,0,0
coco_openai_b16,10,458255,65,bed,5,1,1,1,1,0,0,-0.21560704708099365,-0.2173217535018921,63,couch,63,couch,1,0,0
coco_openai_b16,11,211420,67,dining table,7,0,0,1,1,0,0,-0.1785755455493927,-0.18314333260059357,9,boat,9,boat,1,0,0
coco_openai_b16,12,414661,1,person,0,0,0,1,1,0,0,-0.8089483082294464,-0.8230152875185013,59,pizza,59,pizza,1,0,0
coco_openai_b16,13,422836,1,person,3,1,1,1,1,0,0,-0.40690895915031433,-0.41308096051216125,8,truck,8,truck,1,0,0
coco_openai_b16,14,75146,9,boat,5,1,0,0,0,0,0,0.5835026502609253,0.6018995046615601,67,dining table,67,dining table,1,1,1
coco_openai_b16,15,28071,13,stop sign,1,0,0,0,0,0,0,2.7446727752685547,2.785136342048645,10,traffic light,10,traffic light,1,1,1
coco_openai_b16,16,176031,1,person,5,0,0,1,1,0,0,-0.6000410616397858,-0.6076034903526306,84,book,84,book,1,0,0
coco_openai_b16,17,476704,6,bus,3,1,1,1,1,0,0,-1.6885917484760284,-1.7198475152254105,2,bicycle,2,bicycle,1,0,0
coco_openai_b16,18,312384,6,bus,3,0,0,1,1,0,0,-0.4804501533508301,-0.4821767807006836,13,stop sign,13,stop sign,1,0,0
coco_openai_b16,19,314383,1,person,4,0,0,1,1,0,0,-0.48613032698631287,-0.49629929661750793,34,frisbee,34,frisbee,1,0,0
coco_openai_b16,20,142261,1,person,0,0,0,1,1,0,0,-0.2929976359009743,-0.299010194838047,11,fire hydrant,11,fire hydrant,1,0,0
coco_openai_b16,21,510861,1,person,4,0,0,1,1,0,0,-1.561961144208908,-1.5903312861919403,32,tie,32,tie,1,0,0
coco_openai_b16,22,573784,62,chair,4,0,0,1,1,0,0,-1.143408626317978,-1.15940061211586,63,couch,63,couch,1,0,0
coco_openai_b16,23,147667,1,person,7,1,1,1,1,0,0,-1.3234178833663464,-1.3524879440665245,25,giraffe,25,giraffe,1,0,0
coco_openai_b16,24,353866,1,person,2,0,0,1,1,0,0,-1.2213551700115204,-1.2448224574327469,9,boat,9,boat,1,0,0
coco_openai_b16,25,63565,1,person,0,1,1,1,1,0,0,-1.193420648574829,-1.2148522436618805,55,orange,55,orange,1,0,0
coco_openai_b16,26,187286,7,train,2,1,0,0,0,0,0,0.42897625267505646,0.4365958273410797,56,broccoli,56,broccoli,1,1,1
coco_openai_b16,27,381870,22,elephant,4,1,0,0,0,0,0,5.091827034950256,5.1990050077438354,89,hair drier,89,hair drier,1,1,1
coco_openai_b16,28,341424,78,microwave,4,0,0,1,1,0,0,-1.934191107749939,-1.9723541736602783,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,29,93175,1,person,6,1,1,1,1,0,0,-0.6402725726366043,-0.6540825664997101,24,zebra,24,zebra,1,0,0
coco_openai_b16,30,218766,1,person,5,1,1,1,1,0,0,-1.0525622814893723,-1.0684404969215393,19,horse,19,horse,1,0,0
coco_openai_b16,31,350171,1,person,7,1,1,1,1,0,0,-1.2312792167067528,-1.2545406147837639,43,tennis racket,43,tennis racket,1,0,0
coco_openai_b16,32,452700,3,car,4,1,0,0,0,0,0,0.5358855724334717,0.5413205623626709,24,zebra,24,zebra,1,1,1
coco_openai_b16,33,94926,1,person,0,1,1,1,1,0,0,-0.15602779388427734,-0.1571243703365326,81,sink,81,sink,1,0,0
coco_openai_b16,34,557998,1,person,1,1,1,1,1,0,0,-0.717432290315628,-0.733010321855545,89,hair drier,89,hair drier,1,0,0
coco_openai_b16,35,131919,1,person,0,0,0,1,1,0,0,-0.09355677664279938,-0.09524598717689514,76,keyboard,76,keyboard,1,0,0
coco_openai_b16,36,325991,1,person,6,1,1,1,1,0,0,-1.2712924350053072,-1.295313710346818,43,tennis racket,43,tennis racket,1,0,0
coco_openai_b16,37,462755,38,kite,0,1,0,0,0,0,0,0.10768342018127441,0.1100151538848877,25,giraffe,25,giraffe,1,1,1
coco_openai_b16,38,304186,1,person,0,0,0,1,1,0,0,-1.3997246623039246,-1.4317654967308044,40,baseball glove,40,baseball glove,1,0,0
coco_openai_b16,39,328306,1,person,2,0,0,1,1,0,0,-0.246693953871727,-0.25155942887067795,88,teddy bear,88,teddy bear,1,0,0
coco_openai_b16,40,301282,67,dining table,4,0,0,1,1,0,0,-6.481175065040588,-6.5966688096523285,59,pizza,59,pizza,1,0,0
coco_openai_b16,41,68128,7,train,1,1,0,0,0,0,0,0.0831688642501831,0.08124929666519165,24,zebra,24,zebra,1,1,1
coco_openai_b16,42,9857,65,bed,7,1,1,1,1,0,0,-0.27629123628139496,-0.2812347561120987,60,donut,60,donut,1,0,0
coco_openai_b16,43,42576,17,cat,0,0,0,1,1,0,0,-0.569321796298027,-0.5804760903120041,88,teddy bear,88,teddy bear,1,0,0
coco_openai_b16,44,532159,13,stop sign,5,1,0,0,0,0,0,1.825695276260376,1.8481721878051758,10,traffic light,10,traffic light,1,1,1
coco_openai_b16,45,529148,73,laptop,5,1,1,1,1,0,0,-0.427124559879303,-0.44004660844802856,28,umbrella,28,umbrella,1,0,0
coco_openai_b16,46,73009,1,person,1,1,1,1,1,0,0,-1.7569570541381836,-1.7968072891235352,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,47,36049,7,train,3,0,0,1,1,0,0,-0.8389284908771515,-0.8587657809257507,40,baseball glove,40,baseball glove,1,0,0
coco_openai_b16,48,307786,1,person,6,1,1,1,1,0,0,-0.08444927632808685,-0.08589576184749603,32,tie,32,tie,1,0,0
coco_openai_b16,49,28452,82,refrigerator,5,0,0,1,1,0,0,-1.3926341831684113,-1.4257723689079285,44,bottle,44,bottle,1,0,0
coco_openai_b16,50,363981,1,person,7,1,1,1,1,0,0,-3.446383237838745,-3.511841356754303,41,skateboard,41,skateboard,1,0,0
coco_openai_b16,51,434043,59,pizza,3,1,1,1,1,0,0,-0.9658533930778503,-0.9836639761924744,60,donut,60,donut,1,0,0
coco_openai_b16,52,536369,79,oven,4,1,1,1,1,0,0,-1.940229892730713,-1.9748146533966064,51,bowl,51,bowl,1,0,0
coco_openai_b16,53,547196,67,dining table,7,1,0,0,0,0,0,0.4249356985092163,0.4238978624343872,48,fork,48,fork,1,1,1
coco_openai_b16,54,228854,63,couch,3,1,1,1,1,0,0,-0.4494805335998535,-0.4585381746292114,62,chair,62,chair,1,0,0
coco_openai_b16,55,294776,1,person,6,0,0,1,1,0,0,-1.7247614860534668,-1.7580276131629944,37,sports ball,37,sports ball,1,0,0
coco_openai_b16,56,254516,1,person,4,0,0,1,1,0,0,-0.07415857911109924,-0.07536152005195618,57,carrot,57,carrot,1,0,0
coco_openai_b16,57,162362,28,umbrella,0,1,0,0,0,0,0,1.1003349721431732,1.1264427602291107,87,scissors,87,scissors,1,1,1
coco_openai_b16,58,415413,3,car,0,0,0,1,1,0,0,-0.6062617301940918,-0.6170409917831421,8,truck,8,truck,1,0,0
coco_openai_b16,59,233815,22,elephant,6,0,0,1,1,0,0,-0.4825510233640671,-0.4914697855710983,37,sports ball,37,sports ball,1,0,0
coco_openai_b16,60,373571,1,person,2,0,0,1,1,0,0,-0.4027237892150879,-0.4117146134376526,15,bench,15,bench,1,0,0
coco_openai_b16,61,541837,67,dining table,1,1,1,1,1,0,0,-0.7965437769889832,-0.8165664076805115,15,bench,15,bench,1,0,0
coco_openai_b16,62,462890,65,bed,2,1,0,0,0,0,0,0.5353637337684631,0.5448318719863892,77,cell phone,77,cell phone,1,1,1
coco_openai_b16,63,214200,13,stop sign,4,0,0,1,1,0,0,-0.5028940737247467,-0.5151240527629852,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,64,63619,2,bicycle,0,1,0,0,0,0,0,2.542738437652588,2.590980291366577,4,motorcycle,4,motorcycle,1,1,1
coco_openai_b16,65,74430,28,umbrella,7,1,0,0,0,0,0,1.1177495867013931,1.1439149528741837,34,frisbee,34,frisbee,1,1,1
coco_openai_b16,66,111347,67,dining table,1,1,1,1,1,0,0,-0.23472794890403748,-0.24167588353157043,15,bench,15,bench,1,0,0
coco_openai_b16,67,1296,1,person,0,1,1,1,1,0,0,-0.21513056755065918,-0.21637308597564697,13,stop sign,13,stop sign,1,0,0
coco_openai_b16,68,579438,1,person,7,0,0,1,1,0,0,-0.054177507758140564,-0.05531945824623108,20,sheep,20,sheep,1,0,0
coco_openai_b16,69,32375,63,couch,4,1,0,0,0,0,0,0.05654674768447876,0.05577385425567627,56,broccoli,56,broccoli,1,1,1
coco_openai_b16,70,548337,67,dining table,5,0,0,1,1,0,0,-1.0345516800880432,-1.0557464957237244,32,tie,32,tie,1,0,0
coco_openai_b16,71,273420,65,bed,5,1,0,0,0,0,0,0.4696328341960907,0.47998231649398804,67,dining table,67,dining table,1,1,1
coco_openai_b16,72,548713,19,horse,7,1,0,0,0,0,0,1.0374200642108917,1.052044302225113,20,sheep,20,sheep,1,1,1
coco_openai_b16,73,452836,1,person,2,1,1,1,1,0,0,-0.8023941516876221,-0.8226324319839478,31,handbag,31,handbag,1,0,0
coco_openai_b16,74,119402,6,bus,3,1,1,1,1,0,0,-0.41024839878082275,-0.41938579082489014,50,spoon,50,spoon,1,0,0
coco_openai_b16,75,550013,1,person,0,0,0,1,1,0,0,-0.5859977826476097,-0.6000697538256645,78,microwave,78,microwave,1,0,0
coco_openai_b16,76,375509,73,laptop,1,1,1,1,1,0,0,-0.15942147374153137,-0.16258174180984497,76,keyboard,76,keyboard,1,1,1
coco_openai_b16,77,274272,6,bus,0,1,1,1,1,0,0,-1.709225356578827,-1.7463067770004272,14,parking meter,14,parking meter,1,1,1
coco_openai_b16,78,117584,1,person,1,0,0,1,1,0,0,-0.09679598361253738,-0.09909876435995102,31,handbag,31,handbag,1,0,0
coco_openai_b16,79,246612,1,person,4,0,0,1,1,0,0,-2.0921501219272614,-2.1359162479639053,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,80,412604,1,person,0,1,1,1,1,0,0,-0.14967161417007446,-0.15299028158187866,6,bus,6,bus,1,0,0
coco_openai_b16,81,417632,1,person,0,0,0,1,1,0,0,-0.7368272989988327,-0.747548084706068,63,couch,63,couch,1,0,0
coco_openai_b16,82,87920,1,person,4,0,0,1,1,0,0,-0.4775368347764015,-0.4878678619861603,27,backpack,27,backpack,1,0,0
coco_openai_b16,83,6189,1,person,5,1,1,1,1,0,0,-0.927792489528656,-0.9430227875709534,82,refrigerator,82,refrigerator,1,0,0
coco_openai_b16,84,344621,63,couch,4,1,0,0,0,0,0,2.449568748474121,2.4822217226028442,58,hot dog,58,hot dog,1,1,1
coco_openai_b16,85,25386,1,person,5,1,1,1,1,0,0,-0.670254111289978,-0.6832921504974365,37,sports ball,37,sports ball,1,0,0
coco_openai_b16,86,383066,1,person,4,1,1,1,1,0,0,-2.075222432613373,-2.112825036048889,90,toothbrush,90,toothbrush,1,0,0
coco_openai_b16,87,377005,17,cat,1,0,0,1,1,0,0,-0.3591548949480057,-0.36771222949028015,42,surfboard,42,surfboard,1,0,0
coco_openai_b16,88,428881,1,person,0,1,1,1,1,0,0,-0.2592836618423462,-0.26466888189315796,88,teddy bear,88,teddy bear,1,0,0
coco_openai_b16,89,317448,1,person,5,0,0,1,1,0,0,-0.15982484817504883,-0.16266945749521255,55,orange,55,orange,1,0,0
coco_openai_b16,90,1675,17,cat,3,0,0,1,1,0,0,-0.9908384084701538,-1.012263461947441,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,91,159969,1,person,5,1,1,1,1,0,0,-2.2503563165664673,-2.3067342340946198,35,skis,35,skis,1,0,0
coco_openai_b16,92,276133,51,bowl,3,1,1,1,1,0,0,-0.1238487958908081,-0.12577447295188904,53,apple,53,apple,1,0,0
coco_openai_b16,93,167271,1,person,3,0,0,1,1,0,0,-0.726768970489502,-0.7354320287704468,67,dining table,67,dining table,1,0,0
coco_openai_b16,94,231281,1,person,7,1,1,1,1,0,0,-0.5130559206008911,-0.5156075954437256,67,dining table,67,dining table,1,0,0
coco_openai_b16,95,350789,24,zebra,6,1,0,0,0,0,0,3.7023450136184692,3.785498261451721,14,parking meter,14,parking meter,1,1,1
coco_openai_b16,96,14265,1,person,3,0,0,1,1,0,0,-1.6433352082967758,-1.6816061288118362,28,umbrella,28,umbrella,1,0,0
coco_openai_b16,97,390348,4,motorcycle,3,1,0,0,0,0,0,0.7674322128295898,0.7804079055786133,2,bicycle,2,bicycle,1,1,1
coco_openai_b16,98,74462,1,person,5,0,0,1,1,0,0,-0.726199746131897,-0.7362266778945923,21,cow,21,cow,1,0,0
coco_openai_b16,99,29431,1,person,6,1,1,1,1,0,0,-0.4602411985397339,-0.46890318393707275,43,tennis racket,43,tennis racket,1,0,0
coco_openai_b16,100,381108,1,person,1,1,1,1,1,0,0,-0.3615632653236389,-0.36981073021888733,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,101,559950,18,dog,2,1,1,1,1,0,0,-0.417897492647171,-0.4269931763410568,89,hair drier,89,hair drier,1,0,0
coco_openai_b16,102,257136,1,person,7,0,0,1,1,0,0,-0.3815843462944031,-0.3923855125904083,35,skis,35,skis,1,0,0
coco_openai_b16,103,99341,1,person,0,0,0,1,1,0,0,-3.6489749550819397,-3.722950756549835,34,frisbee,34,frisbee,1,0,0
coco_openai_b16,104,463013,1,person,3,0,0,1,1,0,0,-0.08120286464691162,-0.08248964697122574,52,banana,52,banana,1,0,0
coco_openai_b16,105,10966,1,person,2,0,0,1,1,0,0,-1.458490639925003,-1.4873441755771637,46,wine glass,46,wine glass,1,0,0
coco_openai_b16,106,561491,67,dining table,7,0,0,1,1,0,0,-0.761785764247179,-0.776760458946228,36,snowboard,36,snowboard,1,0,0
coco_openai_b16,107,310302,67,dining table,2,1,1,1,1,0,0,-1.956809401512146,-2.0037986040115356,27,backpack,27,backpack,1,0,0
coco_openai_b16,108,257336,1,person,7,1,1,1,1,0,0,-0.6695944368839264,-0.6847582757472992,31,handbag,31,handbag,1,0,0
coco_openai_b16,109,138115,1,person,5,1,1,1,1,0,0,-0.6986927837133408,-0.7094755619764328,85,clock,85,clock,1,0,0
coco_openai_b16,110,363840,73,laptop,1,0,0,1,1,0,0,-1.4870333075523376,-1.5218633711338043,80,toaster,80,toaster,1,0,0
coco_openai_b16,111,179690,18,dog,1,1,1,1,1,0,0,-0.2874239459633827,-0.2929357886314392,1,person,1,person,1,0,0
coco_openai_b16,112,365018,8,truck,0,1,1,1,1,0,0,-1.1554356217384338,-1.172305405139923,81,sink,81,sink,1,0,0
coco_openai_b16,113,283186,1,person,2,1,1,1,1,0,0,-0.28980234265327454,-0.29409822821617126,21,cow,21,cow,1,0,0
coco_openai_b16,114,477974,13,stop sign,7,1,1,1,1,0,0,-0.982559084892273,-1.0055694580078125,14,parking meter,14,parking meter,1,0,0
coco_openai_b16,115,469061,1,person,7,1,1,1,1,0,0,-0.3081677258014679,-0.31477466225624084,15,bench,15,bench,1,0,0
coco_openai_b16,116,578861,1,person,1,0,0,1,1,0,0,-0.1504705846309662,-0.15271008014678955,82,refrigerator,47,cup,0,0,0
coco_openai_b16,117,96215,1,person,4,1,1,1,1,0,0,-0.7173062562942505,-0.7297826409339905,90,toothbrush,90,toothbrush,1,0,0
coco_openai_b16,118,85944,1,person,0,0,0,1,1,0,0,-0.5306262075901031,-0.5371831059455872,19,horse,19,horse,1,0,0
coco_openai_b16,119,375881,1,person,1,1,1,1,1,0,0,-1.2560836374759674,-1.2788249254226685,32,tie,32,tie,1,0,0
coco_openai_b16,120,178715,1,person,6,0,0,1,1,0,0,-0.4385197162628174,-0.4468512088060379,41,skateboard,41,skateboard,1,0,0
coco_openai_b16,121,216428,17,cat,5,0,0,1,1,0,0,-0.2614315152168274,-0.2657100558280945,16,bird,16,bird,1,0,0
coco_openai_b16,122,197177,59,pizza,1,1,1,1,1,0,0,-0.33868229389190674,-0.34530210494995117,2,bicycle,2,bicycle,1,0,0
coco_openai_b16,123,539386,42,surfboard,0,1,0,0,0,0,0,0.2740236520767212,0.2825283408164978,9,boat,9,boat,1,1,1
coco_openai_b16,124,271892,21,cow,1,1,0,0,0,0,0,1.3494176864624023,1.370331048965454,46,wine glass,46,wine glass,1,1,1
coco_openai_b16,125,499255,1,person,5,1,1,1,1,0,0,-0.3775844871997833,-0.3843487799167633,23,bear,23,bear,1,0,0
