table,dataset_model,key,old_value,new_value,new_minus_old
paired,coco_openai_b16,wf_minus_mean/margin_norm/estimate,0.0124611147447868,0.012461114760536,1.5749198820080856e-11
paired,coco_openai_b16,wf_minus_mean/margin_norm/ci_low,0.0108383753824206,0.0108885875171484,5.0212134727800964e-05
paired,coco_openai_b16,wf_minus_mean/margin_norm/ci_high,0.0141929545616091,0.0141593306064606,-3.362395514850021e-05
paired,coco_openai_b16,wf_minus_mean/target_drop_raw/estimate,0.0010706251639211,0.0010706253216752,1.5775409993069867e-10
paired,coco_openai_b16,wf_minus_mean/target_drop_raw/ci_low,0.0006990070781018,0.0007074154301121,8.408352010300037e-06
paired,coco_openai_b16,wf_minus_mean/target_drop_raw/ci_high,0.0014343044218471,0.0014449417182689,1.0637296421800056e-05
paired,coco_openai_b16,wf_minus_mean/target_drop_norm/estimate,0.0010911043940078,0.0010911045398519,1.458441000346672e-10
paired,coco_openai_b16,wf_minus_mean/target_drop_norm/ci_low,0.0007143905255438,0.0007218452482676,7.454722723800023e-06
paired,coco_openai_b16,wf_minus_mean/target_drop_norm/ci_high,0.0014642574183753,0.0014701787113178,5.921292942499996e-06
paired,coco_openai_b16,wf_minus_mean/bbox_precision/estimate,-0.0042862637449212,-0.0042862637449212,0.0
paired,coco_openai_b16,wf_minus_mean/bbox_precision/ci_low,-0.0050775260072774,-0.0050765147165897,1.01129068770002e-06
paired,coco_openai_b16,wf_minus_mean/bbox_precision/ci_high,-0.0034915835300944,-0.0034937928223669,-2.209292272500017e-06
paired,coco_openai_b16,wf_minus_max_0_1/margin_norm/estimate,0.0002446129629169,0.0002446128401531,-1.2276379999370812e-10
paired,coco_openai_b16,wf_minus_max_0_1/margin_norm/ci_low,0.0001305747961367,0.0001274339816914,-3.140814445299993e-06
paired,coco_openai_b16,wf_minus_max_0_1/margin_norm/ci_high,0.0003722443153993,0.0003701384137108,-2.105901688499983e-06
paired,coco_openai_b16,wf_minus_max_0_1/target_drop_raw/estimate,-9.895578529086764e-05,-9.895580516398996e-05,-1.9873122312813636e-11
paired,coco_openai_b16,wf_minus_max_0_1/target_drop_raw/ci_low,-0.0001915698710247,-0.000192505860268,-9.359892432999912e-07
paired,coco_openai_b16,wf_minus_max_0_1/target_drop_raw/ci_high,-1.0468477374798318e-05,-8.828165005080194e-06,1.6403123697181243e-06
paired,coco_openai_b16,wf_minus_max_0_1/target_drop_norm/estimate,-0.0001007271894442,-0.0001007272165145,-2.7070299994658154e-11
paired,coco_openai_b16,wf_minus_max_0_1/target_drop_norm/ci_low,-0.0001955989231055,-0.000193961275663,1.6376474425000012e-06
paired,coco_openai_b16,wf_minus_max_0_1/target_drop_norm/ci_high,-8.891196168978082e-06,-9.795090762175652e-06,-9.038945931975697e-07
paired,coco_openai_b16,wf_minus_max_0_1/bbox_precision/estimate,-0.0001585903727819,-0.0001585903727819,0.0
paired,coco_openai_b16,wf_minus_max_0_1/bbox_precision/ci_low,-0.0004125211866961,-0.0004149545728793,-2.4333861832000377e-06
paired,coco_openai_b16,wf_minus_max_0_1/bbox_precision/ci_high,9.73021416369354e-05,8.848120685103726e-05,-8.820934785898143e-06
paired,coco_openai_b32,wf_minus_mean/margin_norm/estimate,0.009343198988318,0.0093432035157955,4.527477498808552e-09
paired,coco_openai_b32,wf_minus_mean/margin_norm/ci_low,0.0079695869414151,0.0079739498811023,4.36293968720039e-06
paired,coco_openai_b32,wf_minus_mean/margin_norm/ci_high,0.0108069380250631,0.0108176795005836,1.0741475520501323e-05
paired,coco_openai_b32,wf_minus_mean/target_drop_raw/estimate,0.0002043434476166,0.0002043436321488,1.845322000130871e-10
paired,coco_openai_b32,wf_minus_mean/target_drop_raw/ci_low,-0.0001203185025791,-0.0001148219176346,5.496584944499999e-06
paired,coco_openai_b32,wf_minus_mean/target_drop_raw/ci_high,0.0005332210475466,0.0005410947477643,7.87370021770005e-06
paired,coco_openai_b32,wf_minus_mean/target_drop_norm/estimate,0.0002082341394035,0.0002082343328419,1.934383999822268e-10
paired,coco_openai_b32,wf_minus_mean/target_drop_norm/ci_low,-0.0001261557816197,-0.0001293075946383,-3.151813018599991e-06
paired,coco_openai_b32,wf_minus_mean/target_drop_norm/ci_high,0.0005446437516117,0.0005410459568824,-3.5977947292999872e-06
paired,coco_openai_b32,wf_minus_mean/bbox_precision/estimate,-0.0034956956042671,-0.0034956956042671,0.0
paired,coco_openai_b32,wf_minus_mean/bbox_precision/ci_low,-0.0043076594173424,-0.0043117479606804,-4.088543337999774e-06
paired,coco_openai_b32,wf_minus_mean/bbox_precision/ci_high,-0.0027076210347663,-0.0027270204420612,-1.939940729489987e-05
paired,coco_openai_b32,wf_minus_max_0_1/margin_norm/estimate,0.0002408754379008,0.0002417855719121,9.101340113000121e-07
paired,coco_openai_b32,wf_minus_max_0_1/margin_norm/ci_low,8.830064601128158e-05,8.297669459943719e-05,-5.323951411844398e-06
paired,coco_openai_b32,wf_minus_max_0_1/margin_norm/ci_high,0.0004183386130761,0.000417245170927,-1.0934421491000184e-06
paired,coco_openai_b32,wf_minus_max_0_1/target_drop_raw/estimate,-0.0001001232550475,-0.0001036369885814,-3.5137335339000084e-06
