dataset_model,field,status,old_n,new_n,changed_count,new_minus_old_max_abs,old_value,new_value,difference_new_minus_old
coco_openai_b16,cci_region,aligned_by_sample_index,27708.0,27708.0,0.0,,,,
coco_openai_b16,wf_region,aligned_by_sample_index,27708.0,27708.0,0.0,,,,
coco_openai_b16,mean_region,aligned_by_sample_index,27708.0,27708.0,0.0,,,,
coco_openai_b16,max_0_1_region,aligned_by_sample_index,27708.0,27708.0,0.0,,,,
coco_openai_b16,feasible_set_size,aligned_by_sample_index,27708.0,27708.0,0.0,,,,
coco_openai_b16,cci_bbox_precision,aligned_by_sample_index,27708.0,27708.0,0.0,0.0,,,
coco_openai_b16,cci_margin_norm,aligned_by_sample_index,27708.0,27708.0,0.0,4.768371582475339e-06,,,
coco_openai_b16,cci_pmean_norm,aligned_by_sample_index,27708.0,27708.0,0.0,5.135336254014078e-06,,,
coco_openai_b16,cci_target_drop_raw,aligned_by_sample_index,27708.0,27708.0,0.0,5.7220458984375e-06,,,
coco_openai_b16,cci_target_drop_norm,aligned_by_sample_index,27708.0,27708.0,0.0,5.722045899325678e-06,,,
coco_openai_b16,A,summary_old_vs_new,,,,,17726.0,17726.0,0.0
coco_openai_b16,Aplus,summary_old_vs_new,,,,,16855.0,16855.0,0.0
coco_openai_b16,B,summary_old_vs_new,,,,,11410.0,11410.0,0.0
coco_openai_b16,repair,summary_old_vs_new,,,,,18.0,18.0,0.0
coco_openai_b16,joint_J,summary_old_vs_new,,,,,,12.0,
coco_openai_b32,cci_region,aligned_by_sample_index,27708.0,27708.0,2.0,,,,
coco_openai_b32,wf_region,aligned_by_sample_index,27708.0,27708.0,1.0,,,,
coco_openai_b32,mean_region,aligned_by_sample_index,27708.0,27708.0,1.0,,,,
coco_openai_b32,max_0_1_region,aligned_by_sample_index,27708.0,27708.0,2.0,,,,
coco_openai_b32,feasible_set_size,aligned_by_sample_index,27708.0,27708.0,1.0,,,,
coco_openai_b32,cci_bbox_precision,aligned_by_sample_index,27708.0,27708.0,1.0,0.75,,,
coco_openai_b32,cci_margin_norm,aligned_by_sample_index,27708.0,27708.0,637.0,0.07920543104410172,,,
coco_openai_b32,cci_pmean_norm,aligned_by_sample_index,27708.0,27708.0,162.0,0.3720868454326557,,,
coco_openai_b32,cci_target_drop_raw,aligned_by_sample_index,27708.0,27708.0,836.0,0.2126144841313361,,,
coco_openai_b32,cci_target_drop_norm,aligned_by_sample_index,27708.0,27708.0,887.0,0.2162336111068725,,,
coco_openai_b32,A,summary_old_vs_new,,,,,17847.0,17848.0,1.0
coco_openai_b32,Aplus,summary_old_vs_new,,,,,17330.0,17331.0,1.0
coco_openai_b32,B,summary_old_vs_new,,,,,11561.0,11562.0,1.0
coco_openai_b32,repair,summary_old_vs_new,,,,,30.0,30.0,0.0
coco_openai_b32,joint_J,summary_old_vs_new,,,,,,25.0,
voc2007_openai_b16,cci_region,aligned_by_sample_index,1943.0,1943.0,0.0,,,,
voc2007_openai_b16,wf_region,aligned_by_sample_index,1943.0,1943.0,0.0,,,,
voc2007_openai_b16,mean_region,aligned_by_sample_index,1943.0,1943.0,0.0,,,,
voc2007_openai_b16,max_0_1_region,aligned_by_sample_index,1943.0,1943.0,0.0,,,,
voc2007_openai_b16,feasible_set_size,aligned_by_sample_index,1943.0,1943.0,0.0,,,,
voc2007_openai_b16,cci_bbox_precision,aligned_by_sample_index,1943.0,1943.0,0.0,0.0,,,
voc2007_openai_b16,cci_margin_norm,aligned_by_sample_index,1943.0,1943.0,0.0,4.0531158447265625e-06,,,
voc2007_openai_b16,cci_pmean_norm,aligned_by_sample_index,1943.0,1943.0,0.0,4.3553545285845985e-06,,,
voc2007_openai_b16,cci_target_drop_raw,aligned_by_sample_index,1943.0,1943.0,0.0,6.198883056640625e-06,,,
voc2007_openai_b16,cci_target_drop_norm,aligned_by_sample_index,1943.0,1943.0,0.0,6.67572021484375e-06,,,
voc2007_openai_b16,A,summary_old_vs_new,,,,,1209.0,1209.0,0.0
voc2007_openai_b16,Aplus,summary_old_vs_new,,,,,1186.0,1186.0,0.0
voc2007_openai_b16,B,summary_old_vs_new,,,,,511.0,511.0,0.0
voc2007_openai_b16,repair,summary_old_vs_new,,,,,5.0,5.0,0.0
