status,dataset_model,comparison,metric,estimate,ci_low,ci_high,bootstrap_count,bootstrap_seed,bootstrap_interval,bootstrap_unit,difference_definition,n_valid,raw_or_normalized
local_rerun_traceable,coco_openai_b16,wf_minus_mean,margin_norm,0.012461114760536088,0.010888587517148409,0.014159330606460683,10000,5709,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - mean_margin_norm,27708,normalized
local_rerun_traceable,coco_openai_b16,wf_minus_mean,target_drop_raw,0.0010706253216752697,0.0007074154301121595,0.001444941718268957,10000,6136,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_raw - mean_target_drop_raw,27708,raw
local_rerun_traceable,coco_openai_b16,wf_minus_mean,target_drop_norm,0.0010911045398519894,0.0007218452482676817,0.0014701787113178592,10000,6250,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_norm - mean_target_drop_norm,27708,normalized
local_rerun_traceable,coco_openai_b16,wf_minus_mean,bbox_precision,-0.004286263744921294,-0.005076514716589768,-0.0034937928223669062,10000,6026,percentile_2.5_97.5,same image; direct paired difference,wf_bbox_precision - mean_bbox_precision,27708,raw geometry
local_rerun_traceable,coco_openai_b16,wf_minus_max_0_1,margin_norm,0.00024461284015313305,0.00012743398169142066,0.00037013841371088906,10000,5905,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - max_0_1_margin_norm,27708,normalized
local_rerun_traceable,coco_openai_b16,wf_minus_max_0_1,target_drop_raw,-9.895580516398997e-05,-0.00019250586026806592,-8.828165005080194e-06,10000,6332,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_raw - max_0_1_target_drop_raw,27708,raw
local_rerun_traceable,coco_openai_b16,wf_minus_max_0_1,target_drop_norm,-0.00010072721651454379,-0.00019396127566309566,-9.795090762175653e-06,10000,6446,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_norm - max_0_1_target_drop_norm,27708,normalized
local_rerun_traceable,coco_openai_b16,wf_minus_max_0_1,bbox_precision,-0.00015859037278196126,-0.00041495457287939376,8.848120685103726e-05,10000,6222,percentile_2.5_97.5,same image; direct paired difference,wf_bbox_precision - max_0_1_bbox_precision,27708,raw geometry
local_rerun_traceable,coco_openai_b32,wf_minus_mean,margin_norm,0.009343203515795529,0.007973949881102373,0.010817679500583646,10000,5707,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - mean_margin_norm,27708,normalized
local_rerun_traceable,coco_openai_b32,wf_minus_mean,target_drop_raw,0.0002043436321488511,-0.00011482191763462848,0.0005410947477643753,10000,6134,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_raw - mean_target_drop_raw,27708,raw
local_rerun_traceable,coco_openai_b32,wf_minus_mean,target_drop_norm,0.00020823433284192455,-0.00012930759463832857,0.0005410459568824602,10000,6248,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_norm - mean_target_drop_norm,27708,normalized
local_rerun_traceable,coco_openai_b32,wf_minus_mean,bbox_precision,-0.003495695604267137,-0.004311747960680409,-0.002727020442061222,10000,6024,percentile_2.5_97.5,same image; direct paired difference,wf_bbox_precision - mean_bbox_precision,27708,raw geometry
local_rerun_traceable,coco_openai_b32,wf_minus_max_0_1,margin_norm,0.00024178557191218875,8.297669459943719e-05,0.0004172451709270773,10000,5903,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - max_0_1_margin_norm,27708,normalized
local_rerun_traceable,coco_openai_b32,wf_minus_max_0_1,target_drop_raw,-0.00010363698858144984,-0.00021666393390726537,1.075397241191141e-05,10000,6330,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_raw - max_0_1_target_drop_raw,27708,raw
local_rerun_traceable,coco_openai_b32,wf_minus_max_0_1,target_drop_norm,-0.00010521146910480474,-0.0002172380520147204,9.87910460962557e-06,10000,6444,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_norm - max_0_1_target_drop_norm,27708,normalized
local_rerun_traceable,coco_openai_b32,wf_minus_max_0_1,bbox_precision,-4.0936398989317546e-05,-0.00031712358802399955,0.00023348482164469727,10000,6220,percentile_2.5_97.5,same image; direct paired difference,wf_bbox_precision - max_0_1_bbox_precision,27708,raw geometry
local_rerun_traceable,voc2007_openai_b16,wf_minus_mean,margin_norm,0.004480284933630048,0.002330177335696016,0.007013394484477191,10000,5818,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - mean_margin_norm,1943,normalized
local_rerun_traceable,voc2007_openai_b16,wf_minus_mean,target_drop_raw,-0.0007119276569212402,-0.0019220640238993914,0.0003758334667673013,10000,6245,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_raw - mean_target_drop_raw,1943,raw
local_rerun_traceable,voc2007_openai_b16,wf_minus_mean,target_drop_norm,-0.0007225110870458725,-0.0019626287452490948,0.00040811710234183384,10000,6359,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_norm - mean_target_drop_norm,1943,normalized
local_rerun_traceable,voc2007_openai_b16,wf_minus_mean,bbox_precision,-0.004487233218217841,-0.007356860102032087,-0.0020178151257025543,10000,6135,percentile_2.5_97.5,same image; direct paired difference,wf_bbox_precision - mean_bbox_precision,1943,raw geometry
local_rerun_traceable,voc2007_openai_b16,wf_minus_max_0_1,margin_norm,0.0005067599850083159,4.6440126490359815e-05,0.001120246647714771,10000,6014,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - max_0_1_margin_norm,1943,normalized
local_rerun_traceable,voc2007_openai_b16,wf_minus_max_0_1,target_drop_raw,0.00016514832615024087,-0.00015583450316891987,0.0006161947594931593,10000,6441,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_raw - max_0_1_target_drop_raw,1943,raw
local_rerun_traceable,voc2007_openai_b16,wf_minus_max_0_1,target_drop_norm,0.0001678629814274705,-0.00016124884301256835,0.0006532691133448704,10000,6555,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_norm - max_0_1_target_drop_norm,1943,normalized
local_rerun_traceable,voc2007_openai_b16,wf_minus_max_0_1,bbox_precision,9.56755014528519e-06,-0.0008300671289707052,0.0009762196659244217,10000,6331,percentile_2.5_97.5,same image; direct paired difference,wf_bbox_precision - max_0_1_bbox_precision,1943,raw geometry
local_rerun_traceable,voc2007_openai_b32,wf_minus_mean,margin_norm,0.0031838903054537473,0.0014624647301913164,0.005129156633786142,10000,5816,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - mean_margin_norm,1943,normalized
local_rerun_traceable,voc2007_openai_b32,wf_minus_mean,target_drop_raw,-0.0002984966945173473,-0.001186319432478749,0.0005456054845980132,10000,6243,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_raw - mean_target_drop_raw,1943,raw
local_rerun_traceable,voc2007_openai_b32,wf_minus_mean,target_drop_norm,-0.000303962972778223,-0.0012071416419952325,0.0005583145569233924,10000,6357,percentile_2.5_97.5,same image; direct paired difference,wf_target_drop_norm - mean_target_drop_norm,1943,normalized
local_rerun_traceable,voc2007_openai_b32,wf_minus_mean,bbox_precision,-0.001236818642635905,-0.004029091903714562,0.001430047454137012,10000,6133,percentile_2.5_97.5,same image; direct paired difference,wf_bbox_precision - mean_bbox_precision,1943,raw geometry
local_rerun_traceable,voc2007_openai_b32,wf_minus_max_0_1,margin_norm,0.00041831697361774807,5.779349030874098e-05,0.0009117349254650917,10000,6012,percentile_2.5_97.5,same image; direct paired difference,wf_margin_norm - max_0_1_margin_norm,1943,normalized
