sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision,wf_minus_max_0_1_margin_norm,wf_minus_max_0_1_target_drop_raw,wf_minus_max_0_1_target_drop_norm,wf_minus_max_0_1_bbox_precision
0,490567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,283217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,497801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,323925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,387990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,134940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,54337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,80145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,425390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,520871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,458255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,211420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,414661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,422836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,75146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,28071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,176031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,476704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,312384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,314383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,142261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,510861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,573784,0.26414164900779724,0.021184414625167847,0.021496951580047607,0.0,0.0,0.0,0.0,0.0
23,147667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,353866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,63565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,187286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,381870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,341424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,93175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,218766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,350171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,452700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,94926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,557998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,131919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,325991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,462755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,304186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,328306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,301282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,68128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,42576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,532159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,529148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,73009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,36049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,307786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,28452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,363981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,434043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,536369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,547196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,228854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,294776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,254516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,162362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,415413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,233815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,373571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,541837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,462890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,214200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,63619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,74430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,111347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,579438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,32375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,548337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,273420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,548713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,452836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,119402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,550013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,375509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,274272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,117584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,246612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,412604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,417632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,87920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,6189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,344621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,25386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,383066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,377005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,428881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,317448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,159969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,276133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,167271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,231281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,350789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,14265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,390348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,74462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,29431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,381108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,559950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,257136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,99341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,463013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,10966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,561491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,310302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,257336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,138115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,363840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,179690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,365018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,283186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,477974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,469061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,578861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,96215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,85944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,375881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,178715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,216428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,197177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,539386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,271892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,499255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,306611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,4498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,92658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,454382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,14723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,512929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,532919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,325958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,366111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,74035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,272097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,174893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,364009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,313321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,552237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,436694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,564058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,488250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,540372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,454388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,528462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,172330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,485480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,5673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,88983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,278535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,502698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,290231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,199989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,247918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,79721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,351096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,575755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,175024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,228722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,370233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,407614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,443689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,15140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,122314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,579814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,243867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,528595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,455040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,525118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,305343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,7394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,557896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,369185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,284400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,163025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,407146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,163640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,252833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,526801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,47055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,402206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,389316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,388770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,164848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,226744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,34508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,109146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,418684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,208174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
