status,dataset_model,sample_index,image_id,comparison,metric,difference
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,0,6915,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,1,364,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,2,8846,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_max_0_1,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,3,4964,wf_minus_max_0_1,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,4,2631,wf_minus_mean,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,4,2631,wf_minus_mean,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,4,2631,wf_minus_mean,target_drop_norm,0.0
local_rerun_traceable,voc2007_openai_b32,4,2631,wf_minus_mean,bbox_precision,0.0
local_rerun_traceable,voc2007_openai_b32,4,2631,wf_minus_max_0_1,margin_norm,0.0
local_rerun_traceable,voc2007_openai_b32,4,2631,wf_minus_max_0_1,target_drop_raw,0.0
local_rerun_traceable,voc2007_openai_b32,4,2631,wf_minus_max_0_1,target_drop_norm,0.0
