sample_index,image_id,target_id,A,Aplus,B,C0,C1,C2,r,full_failure,absent_failure,exact_matched_random_failure_probability,cci_region,wf_region,mean_region,max_0_1_region,cci_bbox_precision,wf_bbox_precision,feasible_set_size,n_full_foils,n_absent_foils,m_outranking_foils
0,490567,70,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,0.6875,0.6875,1,79,78,0
1,283217,1,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.03125,0.03125,1,79,77,30
2,497801,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.45098039507865906,0.45098039507865906,1,79,77,31
3,323925,88,0,0,0,0,0,0,0,1,1,0.9996754300551769,6,6,6,6,0.2857142984867096,0.2857142984867096,1,79,77,2
4,387990,65,1,1,0,0,0,0,0,0,0,0.0,7,7,7,7,0.8571428656578064,0.8571428656578064,1,79,77,0
5,134940,38,1,1,0,0,0,0,0,0,0,0.0,7,7,7,7,0.5625,0.5625,1,79,78,0
6,54337,67,0,0,0,0,0,0,0,1,1,0.996754300551769,7,6,7,6,0.43396225571632385,0.4545454680919647,2,79,74,2
7,80145,1,1,1,1,1,0,0,0,1,1,1.0,7,7,7,7,0.7894737124443054,0.7894737124443054,1,79,78,18
8,425390,17,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,1.0,1.0,1,79,78,21
9,520871,67,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,1.0,1.0,1,79,75,59
10,458255,65,1,1,1,1,0,0,0,1,1,1.0,5,5,5,5,0.8333333134651184,0.8333333134651184,1,79,76,4
11,211420,67,0,0,0,0,0,0,0,1,1,0.996754300551769,7,7,7,7,0.05263157933950424,0.05263157933950424,1,79,74,2
12,414661,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.2075471729040146,0.2075471729040146,1,79,78,35
13,422836,1,1,1,1,1,0,0,0,1,1,1.0,3,3,3,3,0.699999988079071,0.699999988079071,1,79,75,35
14,75146,9,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,0.9047619104385376,0.9047619104385376,1,79,78,0
15,28071,13,0,0,0,0,0,0,0,0,0,0.0,1,1,1,1,0.07407407462596893,0.07407407462596893,1,79,77,0
16,176031,1,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,0.05714285746216774,0.05714285746216774,1,79,76,14
17,476704,6,1,1,1,1,0,0,0,1,1,1.0,3,3,3,3,0.6538461446762085,0.6538461446762085,1,79,75,19
18,312384,6,0,0,0,0,0,0,0,1,1,0.9996754300551769,3,3,3,3,0.2954545319080353,0.2954545319080353,1,79,77,2
19,314383,1,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.17391304671764374,0.17391304671764374,1,79,77,33
20,142261,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.4000000059604645,0.4000000059604645,1,79,76,15
21,510861,1,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.3658536672592163,0.3658536672592163,1,79,78,32
22,573784,62,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.22807016968727112,0.22807016968727112,1,79,73,12
23,147667,1,1,1,1,1,0,0,0,1,1,1.0,7,7,7,7,0.9375,0.9375,1,79,77,20
24,353866,1,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.0,0.0,1,79,77,25
25,63565,1,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,0.6153846383094788,0.6153846383094788,1,79,76,14
26,187286,7,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.8666666746139526,0.8666666746139526,1,79,74,0
27,381870,22,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,0.9523809552192688,0.9523809552192688,1,79,75,0
28,341424,78,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.03921568766236305,0.03921568766236305,1,79,78,11
29,93175,1,1,0,1,1,0,0,0,1,1,1.0,6,6,6,6,1.0,1.0,1,79,74,8
30,218766,1,1,1,1,1,0,0,0,1,1,1.0,5,5,5,5,1.0,1.0,1,79,78,28
31,350171,1,1,1,1,1,0,0,0,1,1,1.0,7,7,7,7,0.8181818127632141,0.8181818127632141,1,79,75,10
32,452700,3,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,0.8571428656578064,0.8571428656578064,1,79,72,0
33,94926,1,1,1,1,1,0,0,0,1,1,0.9746835443037974,0,0,0,0,0.739130437374115,0.739130437374115,1,79,77,1
34,557998,1,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,1.0,1.0,1,79,75,13
35,131919,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.0,0.0,1,79,76,11
36,325991,1,1,1,1,1,0,0,0,1,1,1.0,6,6,6,6,0.9583333134651184,0.9583333134651184,1,79,78,21
37,462755,38,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.7647058963775635,0.7647058963775635,1,79,77,0
38,304186,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.9846153855323792,0.9846153855323792,1,79,72,42
39,328306,1,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.0,0.0,1,79,78,53
40,301282,67,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.9666666388511658,0.9666666388511658,1,79,73,37
41,68128,7,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.8823529481887817,0.8823529481887817,1,79,74,0
42,9857,65,1,1,1,1,0,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,79,78,6
