sample_index,image_id,target_id,A,Aplus,B,C0,C1,C2,r,full_failure,absent_failure,exact_matched_random_failure_probability,cci_region,wf_region,mean_region,max_0_1_region,cci_bbox_precision,wf_bbox_precision,feasible_set_size,n_full_foils,n_absent_foils,m_outranking_foils
0,6915,dog,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.4444444477558136,0.4444444477558136,1,19,17,6
1,364,motorbike,1,1,1,1,0,0,0,1,1,1.0,6,6,6,6,0.5,0.5,1,19,18,7
2,8846,cat,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.75,0.75,1,19,18,0
3,4964,sofa,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.800000011920929,0.800000011920929,1,19,17,0
4,2631,person,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.4000000059604645,0.4000000059604645,1,19,18,15
5,4225,boat,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.1111111119389534,0.1111111119389534,1,19,18,0
6,3701,car,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.0,0.0,1,19,18,8
7,6811,horse,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.5555555820465088,0.5555555820465088,1,19,18,0
8,3217,car,1,1,1,0,1,0,0,1,1,1.0,6,6,6,6,1.0,1.0,1,19,18,4
9,2239,person,0,0,0,0,0,0,0,1,1,1.0,3,3,4,3,0.0,0.0,2,19,18,7
10,8563,chair,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,0.0,0.0,1,19,18,3
11,5844,diningtable,1,1,0,0,0,0,0,0,0,0.0,7,7,7,7,0.875,0.875,1,19,18,0
12,4721,person,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.6000000238418579,0.6000000238418579,1,19,18,10
13,4243,motorbike,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.6666666865348816,0.6666666865348816,1,19,18,0
14,2728,person,1,1,1,0,1,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,19,18,3
15,2062,tvmonitor,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.875,0.875,1,19,18,0
16,6481,car,0,0,0,0,0,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,19,18,10
17,6771,diningtable,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,1.0,1.0,1,19,17,0
18,8039,pottedplant,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.0,0.0,1,19,17,5
19,3893,car,0,0,0,0,0,0,0,1,1,1.0,7,7,7,7,0.3333333432674408,0.3333333432674408,1,19,18,9
20,7689,person,1,1,1,1,0,0,0,1,1,1.0,4,4,4,4,1.0,1.0,1,19,18,2
21,6984,chair,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,1.0,1.0,1,19,18,0
22,9231,horse,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,0.9166666865348816,0.9166666865348816,2,19,18,3
23,4650,motorbike,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.6000000238418579,0.6000000238418579,1,19,17,0
24,7553,motorbike,1,1,1,0,1,0,0,1,1,1.0,2,2,2,2,1.0,1.0,1,19,18,4
25,116,sofa,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.875,0.875,1,19,17,0
26,2856,diningtable,1,1,1,0,1,0,0,1,1,1.0,2,2,2,2,1.0,1.0,1,19,18,6
27,5898,sofa,0,0,0,0,0,0,0,0,0,0.0,5,5,5,5,0.4000000059604645,0.4000000059604645,1,19,15,0
28,8126,person,0,0,0,0,0,0,0,1,1,0.9473684210526316,2,2,2,2,0.4545454680919647,0.4545454680919647,1,19,18,1
29,2982,person,1,1,1,1,0,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,18,5
30,7044,person,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.25,0.25,1,19,18,8
31,9475,car,1,1,1,1,0,0,0,1,1,1.0,5,5,5,5,0.75,0.75,1,19,18,6
32,1513,chair,0,0,0,0,0,0,0,1,1,1.0,7,7,7,7,0.0,0.0,1,19,18,5
33,8493,dog,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,0.20000000298023224,0.20000000298023224,1,19,18,10
34,4561,horse,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,1.0,1.0,1,19,18,0
35,1476,person,0,0,0,0,0,0,0,0,0,0.0,3,3,3,3,0.375,0.375,1,19,17,0
36,3617,person,1,1,1,1,0,0,0,1,1,0.9941520467836258,2,2,2,2,0.7333333492279053,0.7333333492279053,1,19,17,2
37,9916,sofa,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.5714285969734192,0.5714285969734192,1,19,18,0
38,4491,chair,1,1,1,1,0,0,0,1,1,0.9473684210526316,2,2,2,2,0.75,0.75,1,19,18,1
39,1551,chair,0,0,0,0,0,0,0,0,0,0.0,7,7,7,7,0.3333333432674408,0.3333333432674408,1,19,18,0
40,1376,person,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.7777777910232544,0.7777777910232544,1,19,18,0
41,9708,person,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.25,0.25,1,19,18,13
42,3479,dog,1,1,1,1,0,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,18,8
43,7462,sheep,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.6666666865348816,0.6666666865348816,1,19,18,0
44,3494,aeroplane,0,0,0,0,0,0,0,1,1,1.0,7,7,7,7,0.3333333432674408,0.3333333432674408,1,19,18,4
45,8486,sofa,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.5,0.5,1,19,17,0
46,9960,motorbike,1,1,1,1,0,0,0,1,1,0.9473684210526316,4,4,4,4,1.0,1.0,1,19,18,1
47,4756,horse,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.6666666865348816,0.6666666865348816,1,19,18,0
48,9152,person,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.0,0.0,1,19,18,3
49,8619,motorbike,1,1,1,1,0,0,0,1,1,1.0,2,2,2,2,1.0,1.0,1,19,18,4
50,4042,person,0,0,0,0,0,0,0,1,1,1.0,6,6,6,6,1.0,1.0,1,19,18,14
51,5506,motorbike,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,1.0,1.0,1,19,18,0
52,7453,sofa,1,1,1,0,1,0,0,1,0,0.9941520467836258,7,7,7,7,1.0,1.0,1,19,17,2
53,1340,person,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,1.0,1.0,1,19,17,0
54,3075,person,1,1,1,0,1,0,0,1,1,0.9473684210526316,0,0,0,0,1.0,1.0,1,19,18,1
55,9487,person,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,1.0,1.0,2,19,18,0
56,1157,motorbike,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,0.0,0.0,1,19,18,11
57,314,sofa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.3333333432674408,0.3333333432674408,1,19,17,0
58,6461,diningtable,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,0.7142857313156128,0.7142857313156128,1,19,17,0
59,4101,sofa,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,1,19,17,0
60,1824,dog,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,1.0,1.0,1,19,18,0
61,4426,car,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,1.0,1.0,1,19,18,9
62,1180,person,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.2222222238779068,0.2222222238779068,1,19,17,16
63,1095,dog,1,1,1,0,1,0,0,1,1,0.9473684210526316,4,4,4,4,1.0,1.0,1,19,18,1
64,9827,train,1,1,1,0,1,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,18,2
65,1055,chair,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.0625,0.0625,1,19,18,7
66,3532,sofa,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,0.1666666716337204,0.1666666716337204,1,19,17,3
67,1826,sofa,0,0,0,0,0,0,0,0,0,0.0,5,5,5,5,0.375,0.375,1,19,17,0
68,5392,aeroplane,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,1,19,18,0
69,8579,motorbike,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,1.0,1.0,1,19,17,0
70,2240,diningtable,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,0.5,0.5,1,19,17,0
71,4937,boat,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.5,0.5,1,19,18,0
72,10,horse,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,1,19,18,0
73,6452,person,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,1.0,1.0,1,19,16,0
74,5119,bicycle,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,1.0,1.0,1,19,18,0
75,7756,chair,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.75,0.75,1,19,18,0
76,2813,chair,1,1,1,1,0,0,0,1,1,0.9473684210526316,3,3,3,3,1.0,1.0,1,19,18,1
77,687,car,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,1.0,1.0,1,19,18,8
78,8852,motorbike,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,1.0,1.0,1,19,18,10
79,8566,person,1,1,1,1,0,0,0,1,1,1.0,3,3,3,3,0.5,0.5,1,19,18,6
80,4410,tvmonitor,0,0,0,0,0,0,0,1,1,0.9473684210526316,7,7,7,7,0.0,0.0,1,19,18,1
81,252,bus,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,0.8333333134651184,0.8333333134651184,1,19,17,0
82,9690,diningtable,0,0,0,0,0,0,0,0,0,0.0,3,3,3,3,0.0,0.0,1,19,18,0
83,9599,car,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,1.0,1.0,1,19,18,0
84,3755,sofa,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.7272727489471436,0.7272727489471436,1,19,18,0
85,2301,diningtable,0,0,0,0,0,0,0,1,1,0.8947368421052632,7,7,7,7,0.4000000059604645,0.4000000059604645,1,19,17,1
86,4378,person,1,1,1,1,0,0,0,1,1,0.9473684210526316,5,5,5,5,0.9166666865348816,0.9166666865348816,1,19,18,1
87,2144,bird,0,0,0,0,0,0,0,1,1,0.9473684210526316,0,0,0,0,0.0,0.0,1,19,18,1
88,291,tvmonitor,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.0,0.0,1,19,18,4
89,697,person,0,0,0,0,0,0,0,1,1,1.0,0,1,1,1,0.0,0.0,2,19,18,15
90,9486,diningtable,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.5,0.5,1,19,16,0
91,8868,boat,0,0,0,0,0,0,0,0,0,0.0,3,3,3,3,0.4000000059604645,0.4000000059604645,1,19,17,0
92,532,person,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,1.0,1.0,1,19,18,0
93,234,chair,0,0,0,0,0,0,0,0,0,0.0,7,7,7,7,0.4000000059604645,0.4000000059604645,1,19,18,0
94,6432,person,1,1,1,1,0,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,18,5
95,6779,horse,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,1.0,1.0,1,19,18,0
96,1975,diningtable,1,1,1,0,1,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,17,8
97,4029,sofa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.3333333432674408,0.3333333432674408,1,19,17,0
98,5936,cat,1,1,1,1,0,0,0,1,1,1.0,4,2,2,2,1.0,0.0,2,19,18,9
99,6672,horse,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,1.0,1.0,1,19,18,0
