sample_index,image_id,path,target_id,target_name,annotated_category_ids,cci_region,cci_bbox_precision,cci_target_drop_raw,cci_target_drop_norm,cci_margin_norm,cci_pmean_norm,feasible_set_size
0,490567,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000490567.jpg,70,toilet,"[70,81]",5,0.6875,0.8197283148765564,0.8322321772575378,0.4940074682235718,1.230992078781128,1
1,283217,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000283217.jpg,1,person,"[1,9,28]",1,0.03125,0.2144841104745865,0.21854762732982635,-0.49693113565444946,0.060854434967041016,1
2,497801,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000497801.jpg,1,person,"[1,27,42]",0,0.45098039507865906,0.44731026887893677,0.4557848274707794,-1.9638011455535889,0.33543556928634644,1
3,323925,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000323925.jpg,88,teddy bear,"[88,56,57]",6,0.2857142984867096,3.7717819213867188,3.8452224731445312,-0.885890007019043,4.080615043640137,1
4,387990,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000387990.jpg,65,bed,"[65,84,86]",7,0.8571428656578064,2.2609386444091797,2.3021278381347656,1.1035538911819458,2.1493642330169678,1
5,134940,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000134940.jpg,38,kite,"[38,1]",7,0.5625,2.271831750869751,2.3214406967163086,0.5651587247848511,1.9555675983428955,1
6,54337,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000054337.jpg,67,dining table,"[67,1,44,46,62,77]",7,0.43396225571632385,0.6200924515724182,0.6289185285568237,-0.15564239025115967,0.951748788356781,2
7,80145,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000080145.jpg,1,person,"[1,35]",7,0.7894737124443054,0.14095358550548553,0.14362403750419617,-2.0701565742492676,0.563891589641571,1
8,425390,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000425390.jpg,17,cat,"[17,73]",1,1.0,0.5376558899879456,0.5478259921073914,-0.4636210799217224,0.4224605858325958,1
9,520871,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000520871.jpg,67,dining table,"[67,44,47,48,59]",5,1.0,0.2732008993625641,0.27708950638771057,-0.35324183106422424,-0.06080034375190735,1
10,458255,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000458255.jpg,65,bed,"[65,1,17,84]",5,0.8333333134651184,0.4153295159339905,0.4228959083557129,-0.2173217535018921,0.3434778153896332,1
11,211420,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000211420.jpg,67,dining table,"[67,1,32,46,61,77]",7,0.05263157933950424,0.23022261261940002,0.23349948227405548,-0.18314333260059357,0.6188641786575317,1
12,414661,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000414661.jpg,1,person,"[1,41]",0,0.2075471729040146,0.1250394880771637,0.12740842998027802,-0.8230152726173401,0.059862032532691956,1
13,422836,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000422836.jpg,1,person,"[1,33,62,64,67]",3,0.699999988079071,0.4355611503124237,0.44381311535835266,-0.41308096051216125,0.034316569566726685,1
14,75146,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000075146.jpg,9,boat,"[9,1]",5,0.9047619104385376,2.0362064838409424,2.0752804279327393,0.6018995046615601,1.861454725265503,1
15,28071,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/coco/val2014/COCO_val2014_000000028071.jpg,13,stop sign,"[13,3,8]",1,0.07407407462596893,4.247285842895508,4.319329738616943,2.7851362228393555,5.016284942626953,1
