setting,stratum,n,Pr_F_full_given_A_stratum,Pr_F_absent_given_A_stratum,exact_matched_random_rate
coco_openai_b16,2_classes,6948,0.6403281519861831,0.6338514680483592,0.6392222878088949
coco_openai_b16,3_classes,4642,0.6471348556656613,0.6370099095217578,0.6450027765343621
coco_openai_b16,4plus_classes,6136,0.6448826597131682,0.6251629726205997,0.6397393873822055
coco_openai_b32,2_classes,6958,0.6553607358436332,0.6494682379994251,0.6542218955687106
coco_openai_b32,3_classes,4710,0.6543524416135881,0.6458598726114649,0.6522621698224375
coco_openai_b32,4plus_classes,6179,0.6342450234665804,0.6145007282731834,0.6291256780058946
voc2007_openai_b16,2_classes,945,0.42328042328042326,0.41375661375661377,0.4173767752715121
voc2007_openai_b16,3_classes,219,0.4200913242009132,0.3972602739726027,0.4062057731848647
voc2007_openai_b16,4plus_classes,45,0.4222222222222222,0.37777777777777777,0.39763788556358215
voc2007_openai_b32,2_classes,951,0.42691903259726605,0.4185068349106204,0.4208312579556146
voc2007_openai_b32,3_classes,231,0.36796536796536794,0.33766233766233766,0.35252272094377357
voc2007_openai_b32,4plus_classes,45,0.3111111111111111,0.26666666666666666,0.29117647058823526
