setting,subset,n,full_non_target_foil_n_mean,annotation_absent_foil_n_mean,full_outranking_n_mean,exact_matched_random_failure_rate,exact_matched_random_CI_lo,exact_matched_random_CI_hi,absent_minus_matched_random,absent_minus_matched_random_CI_lo,absent_minus_matched_random_CI_hi,bootstrap_count,bootstrap_unit,bootstrap_interval,bootstrap_seed_random,bootstrap_seed_paired_absent_minus_random,mc_seed_count,mc_seed_first,mc_seed_last,mc_mean_failure_rate_across_seeds,mc_sd_across_seeds,exact_mean_q,mc_minus_exact,max_abs_seed_level_mc_minus_exact
coco_openai_b16,A,17726.0,79.0,76.62038813042987,8.218436195419159,0.640915052766892,0.633931415698808,0.6480005894231093,-0.009244061003380618,-0.010806044061423003,-0.007693616053164256,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
coco_openai_b16,Aplus,16855.0,79.0,76.60700088994363,7.70109759715218,0.6235154905965935,0.6162168992855986,0.6307085061418133,-0.009691699436700245,-0.01136642183554378,-0.008100820787134344,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
coco_openai_b32,A,17847.0,79.0,76.60335070319941,8.091668067462319,0.6450158757006326,0.637921938833003,0.6520639906342723,-0.008606395115660456,-0.010115668262065386,-0.007164578677908974,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
coco_openai_b32,Aplus,17330.0,79.0,76.59636468551645,7.747201384881708,0.6350205177037036,0.6280430680671701,0.6422987384663427,-0.008880875464811566,-0.010462205306733429,-0.007401157902243198,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
voc2007_openai_b16,A,1209.0,19.0,17.74110835401158,1.509511993382961,0.4146185457480773,0.38708588379266506,0.4421991297353326,-0.00518926535105503,-0.011621928529948112,0.0005659522962029653,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
voc2007_openai_b16,Aplus,1186.0,19.0,17.738617200674536,1.4738617200674535,0.4059338655138989,0.37874015068587713,0.4332101860891689,-0.005427963321655994,-0.011868586670193658,0.0005877610651964627,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
voc2007_openai_b32,A,1227.0,19.0,17.731866340668297,1.4164629176854115,0.4032161499839215,0.37643593268531766,0.43030594903570035,-0.005498138573978618,-0.011905546401920557,0.00038317704868303434,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
voc2007_openai_b32,Aplus,1215.0,19.0,17.732510288065843,1.3917695473251028,0.3990595285114263,0.37136535232821016,0.42662147455906774,-0.00564389065134393,-0.012189749519040888,0.0003236263821823521,10000.0,image,percentile 2.5/97.5,1704.0,1705.0,,,,,,,,
coco_openai_b16,A,,,,,,,,,,,,,,,,100.0,0.0,99.0,0.640951709353492,0.00040550298194359704,0.640915052766892,3.6656586600014585e-05,0.0009669285035581732
coco_openai_b32,A,,,,,,,,,,,,,,,,100.0,0.0,99.0,0.6450327786182553,0.00037214207514187986,0.6450158757006326,1.6902917622685365e-05,0.0010981304213139031
voc2007_openai_b16,A,,,,,,,,,,,,,,,,100.0,0.0,99.0,0.4146401985111663,0.0025364770800713507,0.4146185457480773,2.1652763088964022e-05,0.007217682539763848
voc2007_openai_b32,A,,,,,,,,,,,,,,,,100.0,0.0,99.0,0.40301548492257544,0.002461397273155075,0.4032161499839215,-0.00020066506134608364,0.005498138573978573
