status,dataset_model,feasible_set_size,image_count,image_fraction
local_rerun_verified,coco_openai_b16,1,26404,0.952937779702613
local_rerun_verified,coco_openai_b16,2,1215,0.043850151580770894
local_rerun_verified,coco_openai_b16,3,81,0.00292334343871806
local_rerun_verified,coco_openai_b16,4,8,0.00028872527789807997
local_rerun_verified,coco_openai_b16,5,0,0.0
local_rerun_verified,coco_openai_b16,6,0,0.0
local_rerun_verified,coco_openai_b16,7,0,0.0
local_rerun_verified,coco_openai_b16,8,0,0.0
local_rerun_verified,coco_openai_b32,1,26489,0.9560054857802801
local_rerun_verified,coco_openai_b32,2,1174,0.04237043453154324
local_rerun_verified,coco_openai_b32,3,43,0.0015518983687021798
local_rerun_verified,coco_openai_b32,4,2,7.218131947451999e-05
local_rerun_verified,coco_openai_b32,5,0,0.0
local_rerun_verified,coco_openai_b32,6,0,0.0
local_rerun_verified,coco_openai_b32,7,0,0.0
local_rerun_verified,coco_openai_b32,8,0,0.0
local_rerun_verified,voc2007_openai_b16,1,1850,0.9521358723623263
local_rerun_verified,voc2007_openai_b16,2,88,0.04529078744209985
local_rerun_verified,voc2007_openai_b16,3,5,0.0025733401955738548
local_rerun_verified,voc2007_openai_b16,4,0,0.0
local_rerun_verified,voc2007_openai_b16,5,0,0.0
local_rerun_verified,voc2007_openai_b16,6,0,0.0
local_rerun_verified,voc2007_openai_b16,7,0,0.0
local_rerun_verified,voc2007_openai_b16,8,0,0.0
local_rerun_verified,voc2007_openai_b32,1,1851,0.952650540401441
local_rerun_verified,voc2007_openai_b32,2,89,0.04580545548121462
local_rerun_verified,voc2007_openai_b32,3,3,0.001544004117344313
local_rerun_verified,voc2007_openai_b32,4,0,0.0
local_rerun_verified,voc2007_openai_b32,5,0,0.0
local_rerun_verified,voc2007_openai_b32,6,0,0.0
local_rerun_verified,voc2007_openai_b32,7,0,0.0
local_rerun_verified,voc2007_openai_b32,8,0,0.0
