table,keys,field,existing,recomputed,abs_diff,match,difference_class
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,estimate,0.0124611147447868,0.012461114744786875,7.45931094670027e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,ci_low,0.0108383753824206,0.010838375382420625,2.6020852139652106e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,ci_high,0.0141929545616091,0.014192954561609173,7.28583859910259e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,bootstrap_count,10000,10000,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,bootstrap_seed,4963,4963,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,bootstrap_interval,percentile_2.5_97.5,percentile_2.5_97.5,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,bootstrap_unit,image,image,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,difference_definition,wf_margin_norm - mean_margin_norm,wf_margin_norm - mean_margin_norm; same image and candidate set,,False,definition_correction
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=margin_norm,n_valid,27708,27708,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,estimate,0.0010706251639211,0.0010706251639211355,3.5561831257524545e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,ci_low,0.0006990070781018,0.0006990070781018844,8.44593492366208e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,ci_high,0.0014343044218471,0.0014343044218471355,3.5561831257524545e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,bootstrap_count,10000,10000,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,bootstrap_seed,5390,5390,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,bootstrap_interval,percentile_2.5_97.5,percentile_2.5_97.5,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,bootstrap_unit,image,image,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,difference_definition,wf_target_drop_raw - mean_target_drop_raw,wf_target_drop_raw - mean_target_drop_raw; same image and candidate set,,False,definition_correction
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_raw,n_valid,27708,27708,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,estimate,0.0010911043940078,0.0010911043940078767,7.676151381197371e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,ci_low,0.0007143905255438,0.0007143905255438842,8.42425088021237e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,ci_high,0.0014642574183753,0.001464257418375382,8.196568423990414e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,bootstrap_count,10000,10000,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,bootstrap_seed,5504,5504,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,bootstrap_interval,percentile_2.5_97.5,percentile_2.5_97.5,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,bootstrap_unit,image,image,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,difference_definition,wf_target_drop_norm - mean_target_drop_norm,wf_target_drop_norm - mean_target_drop_norm; same image and candidate set,,False,definition_correction
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=target_drop_norm,n_valid,27708,27708,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,estimate,-0.0042862637449212,-0.004286263744921294,9.454242944073599e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,ci_low,-0.0050775260072774,-0.005077526007277417,1.734723475976807e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,ci_high,-0.0034915835300944,-0.003491583530094427,2.688821387764051e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,bootstrap_count,10000,10000,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,bootstrap_seed,5280,5280,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,bootstrap_interval,percentile_2.5_97.5,percentile_2.5_97.5,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,bootstrap_unit,image,image,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,difference_definition,wf_bbox_precision - mean_bbox_precision,wf_bbox_precision - mean_bbox_precision; same image and candidate set,,False,definition_correction
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_mean;metric=bbox_precision,n_valid,27708,27708,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,estimate,0.0002446129629169,0.0002446129629169301,3.0140820395097023e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,ci_low,0.0001305747961367,0.0001305747961367182,1.8214596497756474e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,ci_high,0.0003722443153993,0.00037224431539937733,7.735782500684074e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,bootstrap_count,10000,10000,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,bootstrap_seed,5159,5159,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,bootstrap_interval,percentile_2.5_97.5,percentile_2.5_97.5,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,bootstrap_unit,image,image,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,difference_definition,wf_margin_norm - max_0_1_margin_norm,wf_margin_norm - max_0_1_margin_norm; same image and candidate set,,False,definition_correction
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=margin_norm,n_valid,27708,27708,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,estimate,-9.895578529086764e-05,-9.895578529086764e-05,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,ci_low,-0.0001915698710247,-0.00019156987102479843,9.841845220737166e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,ci_high,-1.0468477374798318e-05,-1.0468477374798318e-05,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,bootstrap_count,10000,10000,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,bootstrap_seed,5586,5586,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,bootstrap_interval,percentile_2.5_97.5,percentile_2.5_97.5,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,bootstrap_unit,image,image,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,difference_definition,wf_target_drop_raw - max_0_1_target_drop_raw,wf_target_drop_raw - max_0_1_target_drop_raw; same image and candidate set,,False,definition_correction
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_raw,n_valid,27708,27708,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,estimate,-0.0001007271894442,-0.00010072718944424207,4.206704429243757e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,ci_low,-0.0001955989231055,-0.0001955989231055164,1.6398557858843255e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,ci_high,-8.891196168978082e-06,-8.891196168978082e-06,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,bootstrap_count,10000,10000,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,bootstrap_seed,5700,5700,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,bootstrap_interval,percentile_2.5_97.5,percentile_2.5_97.5,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,bootstrap_unit,image,image,,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,difference_definition,wf_target_drop_norm - max_0_1_target_drop_norm,wf_target_drop_norm - max_0_1_target_drop_norm; same image and candidate set,,False,definition_correction
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=target_drop_norm,n_valid,27708,27708,0.0,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=bbox_precision,estimate,-0.0001585903727819,-0.00015859037278196126,6.1257422745431e-17,True,statistical_value
paired_difference_ci_10000,dataset_model=coco_openai_b16;comparison=wf_minus_max_0_1;metric=bbox_precision,ci_low,-0.0004125211866961,-0.0004125211866961996,9.958396954279358e-17,True,statistical_value
