setting,protocol,delta,ci_low,ci_high
COCO B/16,Full foils,0.014970,0.0131213,0.0168974
COCO B/16,Cross-foil,0.0105201,0.00901418,0.01197935
COCO B/16,Absent-only,0.00939224,0.00819162,0.01061535
COCO B/32,Full foils,0.0107773,0.00945247,0.0121498
COCO B/32,Cross-foil,0.00727855,0.006288,0.008459
COCO B/32,Absent-only,0.00696791,0.00594454,0.00803877
VOC B/16,Full foils,0.0117895,0.00677207,0.0183448
VOC B/16,Cross-foil,0.00704579,0.002956,0.011400
VOC B/16,Absent-only,0.00808858,0.00438039,0.01274404
VOC B/32,Full foils,0.00867421,0.00441473,0.0142950
VOC B/32,Cross-foil,0.00438111,0.001313,0.007840
VOC B/32,Absent-only,0.00442915,0.00214434,0.00726524
