dataset,model,protocol,method,epsilon,n_images,switch_count,switch_rate,delta_pmax_pm_raw,delta_pmax_pm_raw_ci_low,delta_pmax_pm_raw_ci_high,delta_pmax_pm_norm,delta_pmax_pm_norm_ci_low,delta_pmax_pm_norm_ci_high,delta_pmax_agg_raw,delta_pmax_agg_raw_ci_low,delta_pmax_agg_raw_ci_high,delta_pmax_agg_norm,delta_pmax_agg_norm_ci_low,delta_pmax_agg_norm_ci_high,delta_target_response_raw,delta_target_response_raw_ci_low,delta_target_response_raw_ci_high,delta_target_response_agg_norm,delta_target_response_agg_norm_ci_low,delta_target_response_agg_norm_ci_high,delta_bbox_precision,delta_bbox_precision_ci_low,delta_bbox_precision_ci_high,delta_bbox_recall,delta_bbox_recall_ci_low,delta_bbox_recall_ci_high,delta_bbox_iou,delta_bbox_iou_ci_low,delta_bbox_iou_ci_high,delta_target_minus_distractor_bbox,delta_target_minus_distractor_bbox_ci_low,delta_target_minus_distractor_bbox_ci_high,switch_rate_boot,switch_rate_ci_low,switch_rate_ci_high,p_delta_pmax_agg_norm_positive_switched,p_delta_pmax_agg_norm_positive_switched_ci_low,p_delta_pmax_agg_norm_positive_switched_ci_high
coco,openai_b16,full_foil,rtp,0.02,27708,663,0.023928107405803378,0.014673752513048107,0.012726152030210769,0.016561847662717847,0.014955942900621706,0.01309171054304738,0.01712220250414903,0.014686662579349872,0.012954190747346352,0.016543255210550705,0.014969996550647683,0.013073991379130038,0.016779603581518147,5.21832622324171e-05,-0.00031296504253651555,0.000449518879278867,5.2909625260914114e-05,-0.00034430695889994605,0.00046939674538858545,-0.0011843408544665514,-0.00195990381038294,-0.00036345980686463083,-0.0006297595966160876,-0.0010308639506786468,-0.0002709593829689279,-0.00045125592286559223,-0.0007646611041054189,-0.0001113881536406234,0.0005400669020288126,-0.0003600397243725784,0.0015742397474923888,0.023928107405803378,0.022051393099465858,0.025877003031615418,0.9215686274509803,0.9009120934959349,0.9412696538630336
coco,openai_b16,full_foil,mean_foil_feasible,0.02,27708,669,0.024144651364226936,0.002390520051767394,0.00036721693457904514,0.004304611273776656,0.0024342471270933893,0.0003853796904630914,0.004473638871253273,0.0024861534710984433,0.0004104194569349791,0.004453340210748191,0.0025312562660063766,0.00044946213566676176,0.004588365416141481,-0.0010095387016367152,-0.001433752493361851,-0.0006057431805442577,-0.001029122906290893,-0.0014641714879659248,-0.0006133147793500903,0.003101922896826231,0.0022127368180664495,0.0038772381784076167,0.0014810591453378015,0.0010823485791091514,0.0018988502341621576,0.0013182943079569302,0.0009879100641705045,0.0016379566731343589,0.0032442481376171294,0.0021882931172468472,0.004307033097269211,0.024144651364226936,0.022376209037101198,0.0259852750108272,0.5635276532137519,0.526145896656535,0.5986214159532545
coco,openai_b16,full_foil,weak_max_scalarization,0.02,27708,580,0.0209325826476108,0.014427477676221401,0.012804992497046693,0.016462702327219306,0.014704388425205262,0.012737923171707912,0.016533743820517175,0.01444708169650977,0.012701231160267048,0.01648931707241201,0.014725383277333196,0.012995857498819438,0.016667358270369803,0.00015113828479243133,-0.00023398990882704697,0.0004852826627479328,0.0001536360511811736,-0.00022480341395566256,0.0005168234684811761,-0.0010257504788288702,-0.0017673677737362822,-0.00024617400689844513,-0.0005745410542997518,-0.0009173806942924747,-0.00019765325137142958,-0.0003976779019509261,-0.0006928951831654871,-8.376282540377258e-05,0.0006211710629397282,-0.00026733595964574053,0.0015553422406879207,0.0209325826476108,0.019307600692940668,0.02262974592175545,0.95,0.9320193595519298,0.9671011536495652
coco,openai_b16,full_foil,uniform_feasible,0.02,27708,653,0.023567200808430777,0.0005381024150860824,-0.0015157936456725583,0.0024683736817297922,0.0005479109099363365,-0.0014772261113396034,0.0024646065433819326,0.0005677957647069498,-0.0012939033018925163,0.002614968685775436,0.0005774661187182061,-0.001548940828846008,0.0024225991910326347,-0.0001410076805058275,-0.00045951825319623976,0.0001993632834188903,-0.00014361415689444654,-0.0005199257136477314,0.0002502547129530073,-0.0006165762181723955,-0.001421707081924884,0.00020074043348063114,-0.00019816432145292908,-0.000540983096749922,0.0001599852111027332,-0.0001122868520506962,-0.00043793185679645585,0.00018952438259069808,-0.0006551517829737759,-0.0016040654871845984,0.00034328628158125044,0.023567200808430777,0.021726577161830518,0.02540782445503104,0.5206738131699847,0.4818852026118687,0.5589607697713439
coco,openai_b16,full_foil,conditional_uniform_non_cci,0.02,27708,1303,0.04702612963764977,0.00013939159418628933,-0.002507908990026875,0.002735459389954981,0.00014184186185811946,-0.0023351063808068366,0.002845455277230554,0.00017603873010266875,-0.0025028334811488034,0.0027760634687717194,0.00017680624588523202,-0.002457494611686911,0.0030421153434161915,-0.0007778830950253443,-0.001324474299708282,-0.00023615560708499338,-0.0007929103684423966,-0.0013685901359600777,-0.0002533705225472701,5.523630621468573e-05,-0.001080208769707632,0.0012695650301499048,0.00010013990349213653,-0.0004397336629302397,0.0006263910482435729,8.880568541835514e-05,-0.00035849735462591,0.0004983180626450364,0.00048388697122214166,-0.0008844747162347688,0.0018328212866897144,0.04702612963764977,0.044644146094990615,0.04962465713873249,0.5095932463545664,0.48250158035994495,0.5350459620025135
coco,openai_b16,full_foil,target_runner_up,0.02,27708,1303,0.04702612963764977,0.00017604694657183493,-0.0024851383712006813,0.00292147078315292,0.00017910977699147425,-0.002608100159115255,0.002643817589219922,0.00020089429481123827,-0.002669210417513642,0.002681136934160334,0.00020170570605763659,-0.0023597609209466365,0.0027390376184662983,-0.0008329795868381229,-0.0013981774894255498,-0.0002803541040839582,-0.0008490272063690526,-0.001358900498976877,-0.00033673412252275685,-7.447408734860297e-05,-0.0012475033229381058,0.0009837809062633717,4.340303045590122e-05,-0.0004917822603291528,0.0005758948573682406,4.163706358080997e-05,-0.00039046103299318966,0.00046732564386696,0.00044719054144447756,-0.0008755103511172475,0.0018713502207761768,0.04702612963764977,0.044607153168759926,0.04948029449978346,0.508825786646201,0.48388261296077506,0.5351375960283323
coco,openai_b16,cross_foil_pooled,rtp,0.02,27708,922,0.03327558827775372,0.010439189370623556,0.008981749879770486,0.011899939623995968,0.010642251360272026,0.00915090987902828,0.012132007955814783,0.010319643915814074,0.008921098713472886,0.011717646173948892,0.010520126180174756,0.009102767627536763,0.012024908139267756,2.1461395250140858e-05,-0.0003148919602580068,0.000382097845015893,2.1441342081655978e-05,-0.00032394231857638074,0.0003814689300556953,-0.0007220258955254713,-0.0015002816476623044,8.678147479524665e-05,-0.00043672979561218617,-0.0007776383197000298,-8.002535701551584e-05,-0.00027550284512359345,-0.0005897111281832966,5.577770395882277e-05,0.0007818987860492888,-0.00012863625898782013,0.0016686767697080308,0.03327558827775372,0.03125451133246716,0.03551411144795726,0.6507592190889371,0.619851068280192,0.6809940478144832
coco,openai_b16,cross_foil_pooled,mean_foil_feasible,0.02,27708,813,0.029341706366392377,0.002229737713219424,0.0008775742853163744,0.003704101033726516,0.0022726294236486986,0.0008314341373048822,0.003710695418748924,0.002309374375647269,0.0007931805827741126,0.003718034691219609,0.0023540408913046112,0.0009063164540204543,0.0038554946488376335,-0.0010028188564055603,-0.0014000409948899905,-0.000592593108941425,-0.0010222517283041922,-0.0014502706494775048,-0.0006364034520486659,0.003064438085739276,0.002171488239991394,0.003887313571454232,0.0014747013725858755,0.0010868959158666155,0.0018631179171527742,0.0013150308977651147,0.0009727473201781674,0.0016315589897383622,0.0031531553495409035,0.002261292347264663,0.0040939638130151924,0.029341706366392377,0.027535368846542514,0.03136278331167894,0.5362853628536285,0.501796473444859,0.5712560748069079
coco,openai_b16,cross_foil_pooled,weak_max_scalarization,0.02,27708,806,0.029089071748231558,0.010183169863957309,0.0087020594033261,0.011647863264098985,0.010381104288974942,0.008979144239355145,0.01200407394490318,0.010066335580285628,0.008620290476814436,0.0114551041064353,0.010261927457838693,0.008844391292455862,0.011784082657223825,0.00012566375880025988,-0.00020113517301698634,0.0004446136981828357,0.0001275809207829733,-0.0002177112292759545,0.00044660106614202776,-0.0006107471838498405,-0.0013353597232975075,0.00010566140152337873,-0.0004110404579845808,-0.0007530451252493191,-3.2327367941407056e-05,-0.0002457688719266931,-0.0005276325494964589,3.499953462143955e-05,0.0008450942608228235,-2.4788346631898217e-05,0.0017073088899610134,0.029089071748231558,0.027103183196188825,0.031037967374043598,0.7047146401985112,0.6724732100302877,0.7354784218408292
coco,openai_b16,cross_foil_pooled,uniform_feasible,0.02,27708,1303,0.04702612963764977,4.8404819843360266e-05,-0.0010923606727392338,0.0011665755398268182,5.0340185584344464e-05,-0.0010218237255784808,0.0012218707441494757,4.9663170373688426e-05,-0.000979555586247432,0.0010738059426802756,5.1227573025304374e-05,-0.0010712326351314313,0.0010860687843267966,-0.0004451995755541252,-0.0007297465335490735,-0.00017993401329402056,-0.000453645117062907,-0.0007262191795616979,-0.0001756297610174992,8.590035463735159e-05,-0.0005106846945562642,0.0006725698323406799,4.780713511250424e-05,-0.0002301272197270901,0.0003108688735595809,5.1278384735174694e-05,-0.00018465031554878433,0.00028812362349346854,0.00025251845448076994,-0.00045957200660680315,0.0009856908428824138,0.04702612963764977,0.04442669987007363,0.04951638515952072,0.511128165771297,0.485293238809468,0.5400911760660804
