sample,sample_index,image_id,target_id,target_category_id,epsilon,cci_region,tp_region,switched,cci_selection_target,tp_selection_target,selection_target_delta,cci_selection_worst_margin,tp_selection_worst_margin,selection_feasible_count,selection_target_tie_count,selection_margin_tie_count,best_candidate_coverage,cci_pmax_pm,tp_pmax_pm,delta_pmax_pm,cci_pmax_agg,tp_pmax_agg,delta_pmax_agg,cci_eval_target,tp_eval_target,delta_eval_target,cci_bbox,tp_bbox,delta_bbox,cci_pm_fail,tp_pm_fail,cci_agg_fail,tp_agg_fail,cci_pmean_all_pm,tp_pmean_all_pm,cci_pmean_all_agg,tp_pmean_all_agg,cci_v_rate_agg,tp_v_rate_agg,cci_v_mass_agg,tp_v_mass_agg,cci_hidden_tail_debt,tp_hidden_tail_debt
0,0,490567,70,70,0.02,5,5,False,0.7536057,0.7536057,0.0,0.39952087,0.39952087,1,1,1,1.0,0.4828011,0.4828011,0.0,0.494017329717177,0.494017329717177,0.0,0.819736,0.819736,0.0,0.6875,0.6875,0.0,False,False,False,False,1.1956295,1.1956295,1.2156128352455775,1.2156128352455775,0.0,0.0,0.0,0.0,False,False
1,1,283217,1,1,0.02,1,1,False,0.42898378,0.42898378,0.0,-0.4926314,-0.4926314,1,1,1,0.5875,-0.48619545,-0.48619545,0.0,-0.49692324904586166,-0.49692324904586166,0.0,0.21448578,0.21448578,0.0,0.03125,0.03125,0.0,True,True,True,True,0.059116513,0.059116513,0.06009571455082405,0.06009571455082405,0.379746835443038,0.379746835443038,0.037103305511985464,0.037103305511985464,False,False
2,2,497801,1,1,0.02,0,0,False,0.6501395,0.6501395,0.0,-1.7939775,-1.7939775,1,1,1,0.725,-1.9303436,-1.9303436,0.0,-1.9638051225910513,-1.9638051225910513,0.0,0.44730473,0.44730473,0.0,0.45098039215686275,0.45098039215686275,0.0,True,True,True,True,0.32481477,0.32481477,0.3312392466390828,0.3312392466390828,0.3924050632911392,0.3924050632911392,0.21707897423692193,0.21707897423692193,False,False
3,3,323925,88,88,0.02,6,6,False,3.627204,3.627204,0.0,-1.0687289,-1.0687289,1,1,1,0.975,-0.87468,-0.87468,0.0,-0.8858874337105282,-0.8858874337105282,0.0,3.7717774,3.7717774,0.0,0.2857142857142857,0.2857142857142857,0.0,True,True,True,True,3.952541,3.952541,4.02960545959367,4.02960545959367,0.02531645569620253,0.02531645569620253,0.014304413795770469,0.014304413795770469,False,False
4,4,387990,65,65,0.02,7,7,False,2.1313107,2.1313107,0.0,1.00827,1.00827,1,1,1,1.0,1.0871927,1.0871927,0.0,1.1035635617949893,1.1035635617949893,0.0,2.2609417,2.2609417,0.0,0.8571428571428571,0.8571428571428571,0.0,False,False,False,False,2.0846055,2.0846055,2.1225077399088073,2.1225077399088073,0.0,0.0,0.0,0.0,False,False
5,5,134940,38,38,0.02,7,7,False,2.2161992,2.2161992,0.0,0.75006795,0.75006795,1,1,1,1.0,0.5424012,0.5424012,0.0,0.5651494463575153,0.5651494463575153,0.0,2.27182,2.27182,0.0,0.5625,0.5625,0.0,False,False,False,False,1.8888988,1.8888988,1.9311123020339975,1.9311123020339975,0.0,0.0,0.0,0.0,False,False
6,6,54337,67,67,0.02,7,6,True,0.42433104,0.41730714,-0.0070239007,-0.9044322,-0.14174175,2,1,1,0.975,-0.22789343,-0.06780207,0.16009136,-0.15563659821949738,0.011242628127172749,0.16687922634667013,0.62008685,0.46525764,-0.1548292,0.4339622641509434,0.45454545454545453,0.02058319039451112,True,True,True,False,0.92527,0.53163487,0.939852377671951,0.5397297150131664,0.02531645569620253,0.0,0.0020515663113571557,0.0,False,False
7,7,80145,1,1,0.02,7,7,False,0.74591506,0.74591506,0.0,-1.7507812,-1.7507812,1,1,1,0.9375,-2.01702,-2.01702,0.0,-2.0701557083685196,-2.0701557083685196,0.0,0.14095148,0.14095148,0.0,0.7894736842105263,0.7894736842105263,0.0,True,True,True,True,0.54648346,0.54648346,0.5568462542194508,0.5568462542194508,0.22784810126582278,0.22784810126582278,0.10717770363313224,0.10717770363313224,True,True
8,8,425390,17,17,0.02,1,1,False,0.74948126,0.74948126,0.0,-0.61446255,-0.61446255,1,1,1,0.7625,-0.55067724,-0.55067724,0.0,-0.46363360595888925,-0.46363360595888925,0.0,0.5376536,0.5376536,0.0,1.0,1.0,0.0,True,True,True,True,0.40952802,0.40952802,0.41717320434701605,0.41717320434701605,0.26582278481012656,0.26582278481012656,0.05313342822363434,0.05313342822363434,True,True
9,9,520871,67,67,0.02,5,5,False,0.36533877,0.36533877,0.0,-0.36941168,-0.36941168,1,1,1,0.275,-0.3489718,-0.3489718,0.0,-0.3532406755849675,-0.3532406755849675,0.0,0.27320004,0.27320004,0.0,1.0,1.0,0.0,True,True,True,True,-0.057521995,-0.057521995,-0.06003743350993607,-0.06003743350993607,0.7468354430379747,0.7468354430379747,0.08041132143495093,0.08041132143495093,False,False
